,Unnamed: 0,ID,Tweet,Event,Retweet_Count,Follower_Count,Source,User_Created_at,Tweet_Created_at,User_Language,User_Screen_Name,User_Location,Event_Decrption,Categories,Priority
0,0,242997841134505985,"ã€�#USGS #Breakingã€‘ M 1.1, 28km SSW of Fairbanks, Alaska http://t.co/hSyciQFM #PastHour #11 #earthquake #tsunami #prayfromjapan",costaRicaEarthquake2012,0,3734,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",2012-03-12 21:27:40,2012-09-04 14:49:34,ja,from___japan,With everyone,"The 2012 Costa Rica earthquake occurred at 08:42 local time (14:42 UTC) on September 5. The epicenter of the 7.6 Mw earthquake was in the Nicoya Peninsula, 11 kilometers east-southeast of Nicoya.",['OriginalEvent'],Low
1,1,243121539552256001,"#Earthquake M 4.8, south of Bali, Indonesia: September 04, 2012 21:19:30 GMT http://t.co/iEelaYGO",costaRicaEarthquake2012,0,659,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",2009-04-09 16:49:40,2012-09-04 23:01:06,en,YKLee13,Singapore,"The 2012 Costa Rica earthquake occurred at 08:42 local time (14:42 UTC) on September 5. The epicenter of the 7.6 Mw earthquake was in the Nicoya Peninsula, 11 kilometers east-southeast of Nicoya.",['OriginalEvent'],Low
2,2,243198739882332161,"#earthquake: M 4.5, Taiwan region http://t.co/7FmNQZdm",costaRicaEarthquake2012,0,2847,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",2011-03-13 03:49:42,2012-09-05 04:07:52,en,equakea,,"The 2012 Costa Rica earthquake occurred at 08:42 local time (14:42 UTC) on September 5. The epicenter of the 7.6 Mw earthquake was in the Nicoya Peninsula, 11 kilometers east-southeast of Nicoya.",['OriginalEvent'],Low
3,3,243203924050448384,"#earthquake M 2.6, Hawaii region, Hawaii http://t.co/S2GbQIaO",costaRicaEarthquake2012,1,11251,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",2008-07-29 18:58:36,2012-09-05 04:28:28,en,WheresItShaking,"Columbus, Ohio, USA","The 2012 Costa Rica earthquake occurred at 08:42 local time (14:42 UTC) on September 5. The epicenter of the 7.6 Mw earthquake was in the Nicoya Peninsula, 11 kilometers east-southeast of Nicoya.",['OriginalEvent'],Low
4,4,243361298518249473,Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,costaRicaEarthquake2012,0,174,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>",2011-04-30 04:35:49,2012-09-05 14:53:49,en,JWoodward26,USA,"The 2012 Costa Rica earthquake occurred at 08:42 local time (14:42 UTC) on September 5. The epicenter of the 7.6 Mw earthquake was in the Nicoya Peninsula, 11 kilometers east-southeast of Nicoya.",['OriginalEvent'],Low
5,5,243361642447007744,RT @Reuters: Live coverage: 7.9-magnitude earthquake rattles the coast of Costa Rica; tsunami watch for Caribbean in effect - http://t.c ...,costaRicaEarthquake2012,391,295,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2009-06-25 12:40:13,2012-09-05 14:55:11,hu,csola48,Hungary,"The 2012 Costa Rica earthquake occurred at 08:42 local time (14:42 UTC) on September 5. The epicenter of the 7.6 Mw earthquake was in the Nicoya Peninsula, 11 kilometers east-southeast of Nicoya.",['News'],Medium
6,6,243361697002299392,"ãƒ‡ã‚«ã‚¤ã�ªã€‚ã�§ã�‹ã�™ã�Žã‚‹ã�œã€�ãƒ™ã‚¯ãƒ†ãƒ«ï¼�http://t.co/SvC7zoN5ã€€RTx2:ã€€@NewEarthquake 
7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42amã€€http://t.co/mwsMLQ3Z",costaRicaEarthquake2012,1,4039,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2009-07-29 21:05:05,2012-09-05 14:55:24,en,ST0NES,Radioactive Japan,"The 2012 Costa Rica earthquake occurred at 08:42 local time (14:42 UTC) on September 5. The epicenter of the 7.6 Mw earthquake was in the Nicoya Peninsula, 11 kilometers east-southeast of Nicoya.",['OriginalEvent'],Low
7,7,243361759912681472,RT @BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,costaRicaEarthquake2012,928,2260,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>",2009-06-02 17:15:30,2012-09-05 14:55:39,en,don_pulgo,"New York, USA","The 2012 Costa Rica earthquake occurred at 08:42 local time (14:42 UTC) on September 5. The epicenter of the 7.6 Mw earthquake was in the Nicoya Peninsula, 11 kilometers east-southeast of Nicoya.",['OriginalEvent'],Low
8,8,243362053518131200,"RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters #lgf #p2",costaRicaEarthquake2012,0,724,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2009-11-02 02:01:51,2012-09-05 14:56:49,en,Tarkloon,Kansas,"The 2012 Costa Rica earthquake occurred at 08:42 local time (14:42 UTC) on September 5. The epicenter of the 7.6 Mw earthquake was in the Nicoya Peninsula, 11 kilometers east-southeast of Nicoya.",['Official'],Low
9,9,243362175148773377,Costa Rican shaken by magnitude-5.8 earthquake http://t.co/454IrRdA #costarica,costaRicaEarthquake2012,1,443,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",2011-04-02 12:35:57,2012-09-05 14:57:18,en,PuraDeli,Costa Rica,"The 2012 Costa Rica earthquake occurred at 08:42 local time (14:42 UTC) on September 5. The epicenter of the 7.6 Mw earthquake was in the Nicoya Peninsula, 11 kilometers east-southeast of Nicoya.",['OriginalEvent'],Low
10,10,243362288403369984,"RT @Reuters: More: 7.9-magnitude earthquake rattles coastline of Costa Rica, USGS says - http://t.co/9YqdEq9g",costaRicaEarthquake2012,241,368,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",2009-06-06 13:32:43,2012-09-05 14:57:45,en,sdhvst,...behind Beka's seat 🔥,"The 2012 Costa Rica earthquake occurred at 08:42 local time (14:42 UTC) on September 5. The epicenter of the 7.6 Mw earthquake was in the Nicoya Peninsula, 11 kilometers east-southeast of Nicoya.",['OriginalEvent'],Low
