,Unnamed: 0,ID,Tweet,Event,Retweet_Count,Follower_Count,Source,User_Created_at,Tweet_Created_at,User_Language,User_Screen_Name,User_Location,Event_Decrption,Categories,Priority
1149,1149,324681353662709760,"@MontesCb7 Waco, Texas!! I use to live near there, ilived in McKinney, tx near Plano where the ""D"" is made lol",westTexasExplosion2013,0,336,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2009-08-18 19:18:00,2013-04-18 00:30:41,en,SiSoylaReyna,"Sanford, NC","On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['Irrelevant'],Low
1150,1150,324693550694543361,"Really? Another explosion, now in Texas? What the hell is wrong with people nowadays? Goddamn...",westTexasExplosion2013,1,282,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2012-09-20 03:44:12,2013-04-18 01:19:09,en,Jonayeee_,JcPenney ,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",[],High
1151,1151,324694339240460289,"Explosion reported at fertilizer plant in West, McLennan Co.",westTexasExplosion2013,0,2545,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2012-09-13 15:32:52,2013-04-18 01:22:17,en,NavarroOEM,"Corsicana, TX","On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['NewSubEvent'],Critical
1152,1152,324694565753851904,RT @Donna4843: triage for injured at Reagan st in West Tx due to plt explosion  Multiple areas on fire including a school. http://t.co/t ...,westTexasExplosion2013,8,1933,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2009-05-06 19:57:32,2013-04-18 01:23:11,en,AEMarla,Los Angeles,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['Irrelevant'],Low
1153,1153,324694993551884288,RT @911BUFF: TEXAS: MASSIVE EXPLOSION U/D - LOCAL HOSPITALS NOTIFIED. EVERY AVAILABLE AMBULANCE DISPATCHED. REPORTS OF CASUALTIES. http: ...,westTexasExplosion2013,154,272,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2009-02-08 05:22:01,2013-04-18 01:24:53,en,soprano141,"Montreal, Que. Canada.","On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['NewSubEvent'],High
1154,1154,324695182303961089,"RT @firehat: Now tuned in to the massive explosion near Waco. Multiple buildings afire, including a school. Hospital in burning area. Un ...",westTexasExplosion2013,9,537,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2009-01-30 10:47:27,2013-04-18 01:25:38,en,bsekora,"ÃœT: 40.305816,-79.580288","On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['EmergingThreats'],High
1155,1155,324700584571711488,"RT @brianstelter: A big explosion at a fertilizer plant in West, TX tonight. Most dramatic photo from the scene, by @AndyBartee: http:// ...",westTexasExplosion2013,157,968,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2009-03-24 18:57:33,2013-04-18 01:47:06,es,lonely_ana,El Blvd. de los SueÃ±os Rotos. ,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['MultimediaShare'],High
1156,1156,324702421668487169,RT @sudixitca: MT @RT_com BREAKING: Multiple casualties in #Texas fertilizer plant explosion - reports http://t.co/CXHwhVpdVk,westTexasExplosion2013,1,435,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2011-07-16 19:44:20,2013-04-18 01:54:24,en,Fatima1of5,United States,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['News'],Low
1157,1157,324702723675144192,"@wfaachannel8 McLennan co. dispatch asking more resources rescue trapped people in apartment #explosion at fertilizer plant in West, TX",westTexasExplosion2013,6,5461,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2009-08-18 16:37:06,2013-04-18 01:55:36,en,ToddWFAA8,Dallas/Fort Worth,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['EmergingThreats'],Critical
1158,1158,324702774006775809,#waco #explosion http://t.co/4KzHKAsPop,westTexasExplosion2013,1,1570,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2012-12-27 05:14:28,2013-04-18 01:55:48,en,WestWebster,,"On April 17, 2013, an ammonium nitrate explosion occurred at the West Fertilizer Company storage and distribution facility in West, Texas, eighteen miles (29 km) north of Waco, while emergency services personnel were responding to a fire at the facility.",['Sentiment'],Low
