,Unnamed: 0,ID,Tweet,Event,Retweet_Count,Follower_Count,Source,User_Created_at,Tweet_Created_at,User_Language,User_Screen_Name,User_Location,Event_Decrption,Categories,Priority
745,745,396263979762196480,KING D ROYALTY http://t.co/2RJIrrnlOi â€¦ #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 81,laAirportShooting2013,0,284,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2012-03-14 09:04:31,2013-11-01 13:14:29,en,Robertplg,Dallas,"On November 1, 2013, a shooting occurred at around 9:20 a.m. PDT in Terminal 3 of the Los Angeles International Airport. Paul Anthony Ciancia, aged 23, opened fire with a rifle, killing a U.S. government Transportation Security Administration officer and injuring several other people.",['Irrelevant'],Low
746,746,396313082466541568,Something's happening @ #LAX rt now!! Re-tweet.,laAirportShooting2013,0,112,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",2011-04-13 22:25:31,2013-11-01 16:29:36,en,Nathn77,Southern California,"On November 1, 2013, a shooting occurred at around 9:20 a.m. PDT in Terminal 3 of the Los Angeles International Airport. Paul Anthony Ciancia, aged 23, opened fire with a rifle, killing a U.S. government Transportation Security Administration officer and injuring several other people.",['NewSubEvent'],High
747,747,396314030383443968,"What the hell is going on at LAX, and why does something bad ALWAYS happen at an airport on days that I fly? Explain, @jonostrower.",laAirportShooting2013,0,1038,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2009-02-13 06:05:42,2013-11-01 16:33:22,en,melissaeweiss,,"On November 1, 2013, a shooting occurred at around 9:20 a.m. PDT in Terminal 3 of the Los Angeles International Airport. Paul Anthony Ciancia, aged 23, opened fire with a rifle, killing a U.S. government Transportation Security Administration officer and injuring several other people.",['InformationWanted'],High
748,748,396315108311199744,Gunshots outside #LAX. Unknown if anyone is injured. Prayers go out to you all.,laAirportShooting2013,0,112,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",2011-04-13 22:25:31,2013-11-01 16:37:39,en,Nathn77,Southern California,"On November 1, 2013, a shooting occurred at around 9:20 a.m. PDT in Terminal 3 of the Los Angeles International Airport. Paul Anthony Ciancia, aged 23, opened fire with a rifle, killing a U.S. government Transportation Security Administration officer and injuring several other people.",['NewSubEvent'],Critical
749,749,396315620050223104,RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down. Suspect down.,laAirportShooting2013,152,669,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2009-04-25 22:58:14,2013-11-01 16:39:41,en,bldove,"Brooklyn, NY","On November 1, 2013, a shooting occurred at around 9:20 a.m. PDT in Terminal 3 of the Los Angeles International Airport. Paul Anthony Ciancia, aged 23, opened fire with a rifle, killing a U.S. government Transportation Security Administration officer and injuring several other people.",['NewSubEvent'],Critical
750,750,396317146751307776,RT @charlescwcooke: California should pass gun control. RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims downâ€¦,laAirportShooting2013,7,192,"<a href=""http://www.myplume.com/"" rel=""nofollow"">PlumeÂ forÂ Android</a>",2011-03-18 17:17:48,2013-11-01 16:45:45,en,VolcanoKrunkCup,,"On November 1, 2013, a shooting occurred at around 9:20 a.m. PDT in Terminal 3 of the Los Angeles International Airport. Paul Anthony Ciancia, aged 23, opened fire with a rifle, killing a U.S. government Transportation Security Administration officer and injuring several other people.",['Discussion'],Low
751,751,396317331330433024,"RT @NewsBreaker: EYEWITNESS: @ToryBelleci reports hearing gun shots, ""then everyone starting running for the door."" Outside now @ #LAX httpâ€¦",laAirportShooting2013,95,7927,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2013-10-03 15:26:22,2013-11-01 16:46:29,en-gb,twogallivants,London,"On November 1, 2013, a shooting occurred at around 9:20 a.m. PDT in Terminal 3 of the Los Angeles International Airport. Paul Anthony Ciancia, aged 23, opened fire with a rifle, killing a U.S. government Transportation Security Administration officer and injuring several other people.",['FirstPartyObservation'],High
752,752,396317406798553088,"Shots fired, airport evacuated at #LAX is what im seeing all over my timeline.",laAirportShooting2013,0,157,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2010-10-27 19:04:04,2013-11-01 16:46:47,en,Ian_Reynolds95,"Dublin, Ireland","On November 1, 2013, a shooting occurred at around 9:20 a.m. PDT in Terminal 3 of the Los Angeles International Airport. Paul Anthony Ciancia, aged 23, opened fire with a rifle, killing a U.S. government Transportation Security Administration officer and injuring several other people.",['ThirdPartyObservation'],Medium
753,753,396317671035129856,RT @AustinCrossCBS: Reports saying a TSA agent and the shooting suspect have been shot. #LAX,laAirportShooting2013,8,380,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2007-11-27 13:10:53,2013-11-01 16:47:50,en,aloc103_,mansfield ohio,"On November 1, 2013, a shooting occurred at around 9:20 a.m. PDT in Terminal 3 of the Los Angeles International Airport. Paul Anthony Ciancia, aged 23, opened fire with a rifle, killing a U.S. government Transportation Security Administration officer and injuring several other people.",['Factoid'],High
754,754,396317725556887552,RT @LASportsRadio: Some guy just got into the LAX airport with a rifle.  Last week LAX security confiscated my hair gel.,laAirportShooting2013,29,1020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2009-03-18 00:17:49,2013-11-01 16:48:03,en,SlimDreY,,"On November 1, 2013, a shooting occurred at around 9:20 a.m. PDT in Terminal 3 of the Los Angeles International Airport. Paul Anthony Ciancia, aged 23, opened fire with a rifle, killing a U.S. government Transportation Security Administration officer and injuring several other people.",['Factoid'],High
