,Unnamed: 0,ID,Tweet,Event,Retweet_Count,Follower_Count,Source,User_Created_at,Tweet_Created_at,User_Language,User_Screen_Name,User_Location,Event_Decrption,Categories,Priority
247,247,211281973870727170,#colorado. Told you its #amazing http://t.co/6z0Qq7qe,fireColorado2012,0,537,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerryÂ®</a>",2009-07-07 13:44:22,2012-06-09 02:22:02,en,jeffseroka,"Las Vegas, NV","The 2012 Colorado wildfires were an unusually devastating series of Colorado wildfires, including several separate fires that occurred throughout June, July, and August 2012. At least 34,500 residents were evacuated in June. <a href='https://en.wikipedia.org/wiki/2012_Colorado_wildfires' target='_blank'>Wikipedia Page<a>",['Irrelevant'],Low
248,248,211557401231495171,RT @northfortynews: Tanker helicopter heads up to Paradise Park to drop water on #HighParkFire. http://t.co/7atRS5cy,fireColorado2012,3,4740,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2009-09-30 16:49:49,2012-06-09 20:36:29,en,mpf2011,Colorado,"The 2012 Colorado wildfires were an unusually devastating series of Colorado wildfires, including several separate fires that occurred throughout June, July, and August 2012. At least 34,500 residents were evacuated in June. <a href='https://en.wikipedia.org/wiki/2012_Colorado_wildfires' target='_blank'>Wikipedia Page<a>",['FirstPartyObservation'],Medium
249,249,211565974422425600,#Evacuation center Cache La Poudre Middle School 3515 West County Road 54G in Laporte. #Colorado #Wildfire,fireColorado2012,2,2684,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2010-11-01 12:15:57,2012-06-09 21:10:33,en,SF_AngelaThorpe,"Denver, Colorado","The 2012 Colorado wildfires were an unusually devastating series of Colorado wildfires, including several separate fires that occurred throughout June, July, and August 2012. At least 34,500 residents were evacuated in June. <a href='https://en.wikipedia.org/wiki/2012_Colorado_wildfires' target='_blank'>Wikipedia Page<a>",['ServiceAvailable'],High
250,250,211607187653533697,20F degrees cooler tomorrow in North Central &amp; Northeastern #Colorado. Highs in the mid and upper 70'S. #HighParkFire #COwx #Heat #Coolbreak,fireColorado2012,0,113859,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2011-03-30 02:51:07,2012-06-09 23:54:19,en,WilliamScherer3,"DENVER, CO. 5,280'FT U.S.A.","The 2012 Colorado wildfires were an unusually devastating series of Colorado wildfires, including several separate fires that occurred throughout June, July, and August 2012. At least 34,500 residents were evacuated in June. <a href='https://en.wikipedia.org/wiki/2012_Colorado_wildfires' target='_blank'>Wikipedia Page<a>",['Weather'],Medium
251,251,211654415503990784,FEMA has authorized the use of federal funds to help with firefighting costs for the #HighParkFire. http://t.co/whxlpPEP,fireColorado2012,0,1624,"<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",2010-10-21 23:25:00,2012-06-10 03:01:59,en,sherivf,Lancaster CA,"The 2012 Colorado wildfires were an unusually devastating series of Colorado wildfires, including several separate fires that occurred throughout June, July, and August 2012. At least 34,500 residents were evacuated in June. <a href='https://en.wikipedia.org/wiki/2012_Colorado_wildfires' target='_blank'>Wikipedia Page<a>",['News'],Medium
252,252,211671247258521602,#Media Large wildfire in N. Colorado prompts evacuations: Crews are battling a fast-moving wildf... http://t.co/ju1BGTKH #Politics #News,fireColorado2012,0,125,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",2008-05-05 03:43:41,2012-06-10 04:08:52,en,LiveMy_life,California,"The 2012 Colorado wildfires were an unusually devastating series of Colorado wildfires, including several separate fires that occurred throughout June, July, and August 2012. At least 34,500 residents were evacuated in June. <a href='https://en.wikipedia.org/wiki/2012_Colorado_wildfires' target='_blank'>Wikipedia Page<a>",['News'],Low
253,253,211681309368655872,Large wildfire in northern Colorado prompts evacuations - Fox News: CBS NewsLarge wildfire in northern Colorado ... http://t.co/BvG6xSRH,fireColorado2012,0,13767,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",2010-06-29 14:08:24,2012-06-10 04:48:51,en,juanmuriango,"Nairobi , Kenya","The 2012 Colorado wildfires were an unusually devastating series of Colorado wildfires, including several separate fires that occurred throughout June, July, and August 2012. At least 34,500 residents were evacuated in June. <a href='https://en.wikipedia.org/wiki/2012_Colorado_wildfires' target='_blank'>Wikipedia Page<a>",['News'],Low
254,254,211685621125742592,RT @LarimerSheriff: #HighParkFire update http://t.co/hBy5shen,fireColorado2012,5,1598,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2008-12-11 23:48:33,2012-06-10 05:05:59,en,reags,San Francisco,"The 2012 Colorado wildfires were an unusually devastating series of Colorado wildfires, including several separate fires that occurred throughout June, July, and August 2012. At least 34,500 residents were evacuated in June. <a href='https://en.wikipedia.org/wiki/2012_Colorado_wildfires' target='_blank'>Wikipedia Page<a>",['Official'],Low
255,255,211703656611979265,India Large wildfire in N. Colorado prompts evacuations http://t.co/uprHT63g,fireColorado2012,0,169,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",2010-06-24 09:44:42,2012-06-10 06:17:39,en,Latest_in_world,,"The 2012 Colorado wildfires were an unusually devastating series of Colorado wildfires, including several separate fires that occurred throughout June, July, and August 2012. At least 34,500 residents were evacuated in June. <a href='https://en.wikipedia.org/wiki/2012_Colorado_wildfires' target='_blank'>Wikipedia Page<a>",['News'],Low
256,256,211732966416719873,Western wildfires forcing evacuations: Firefighters in Colorado and New Mexico are battling wildfires that are m... http://t.co/BOaVjrRO,fireColorado2012,0,42,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",2011-01-24 10:19:20,2012-06-10 08:14:07,en,dissertationon,,"The 2012 Colorado wildfires were an unusually devastating series of Colorado wildfires, including several separate fires that occurred throughout June, July, and August 2012. At least 34,500 residents were evacuated in June. <a href='https://en.wikipedia.org/wiki/2012_Colorado_wildfires' target='_blank'>Wikipedia Page<a>",['News'],Low
