,Unnamed: 0,ID,Tweet,Event,Retweet_Count,Follower_Count,Source,User_Created_at,Tweet_Created_at,User_Language,User_Screen_Name,User_Location,Event_Decrption,Categories,Priority
510,510,378011169883037697,"RT @dlfluegge: Crazy Flooding in Boulder, Colorado http://t.co/sg0iIdqCeY via @youtube",floodColorado2013,10,376,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2009-07-26 18:15:13,2013-09-12 04:24:20,en,jewmike,Colorado,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['MultimediaShare'],High
511,511,378020179214491649,Here's the #boulderflood video that's circulating around. Right in my old neighborhood west of CU! #StaySafe  http://t.co/eMPbOeBk7Mâ€�,floodColorado2013,3,211,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2010-05-16 21:17:24,2013-09-12 05:00:08,en,KristinsDreams,"Denver, CO","The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['MultimediaShare'],High
512,512,378026101588496385,RT @passantino: Video: Severe flooding hits near Univ. of Colorado at Boulder http://t.co/7jkJogCjDH,floodColorado2013,3,621,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2011-02-02 23:20:53,2013-09-12 05:23:40,en,mindfulnurse,"Boulder, Colorado","The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['MultimediaShare'],High
513,513,378029784204206080,"Crazy Flooding in Boulder, Colorado http://t.co/3IgoyaAfWE",floodColorado2013,0,232,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>",2010-04-06 03:59:52,2013-09-12 05:38:18,en,JoshWorldPeace,,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['MultimediaShare'],High
514,514,378038458024865792,Thoughts and prayers out to those in Boulder who may not get to Amante for morning coffee. #boulderflood,floodColorado2013,5,188,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",2010-02-13 05:31:57,2013-09-12 06:12:46,en,jimatgoleaddog,"Lyme & Randolph, NH","The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['Sentiment'],Low
515,515,378042534863192064,what... â€œ@AmyZPhD: @JuggleGod They are saying South Boulder Creek near Eldo Sprgs is past #100yearflood levels #boulderfloodâ€�,floodColorado2013,0,1289,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2008-11-05 04:10:10,2013-09-12 06:28:58,en,bike,,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['Discussion'],Low
516,516,378045630251147265,RT @dailycamera: VIDEO: Flooding at 28th St underpass in #Boulder tonight http://t.co/JhQBnOZWiF #boulderflood,floodColorado2013,36,86,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2009-01-17 00:15:10,2013-09-12 06:41:16,en,skuzz,,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['MultimediaShare'],High
517,517,378046271996440576,RT @BoulderCh1News: scanner #boulderflood reports Lee Road rock slide road is closed,floodColorado2013,1,893,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2013-07-22 14:50:37,2013-09-12 06:43:49,en,SoCalWiseguy,DTLA 😎 USA,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['EmergingThreats'],High
518,518,378047710659502080,"RT @elaine: With the #Boulderflood, remember to check and trust your sources before you Retweet. Don't go around spreading false informatioâ€¦",floodColorado2013,6,1425,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>",2008-03-29 05:08:32,2013-09-12 06:49:32,en,frogtosser,"Denver, CO. ","The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['Advice'],Low
519,519,378049119924674561,RT @ShoutSteph: And I thought living on boulder creek would be a good thing... #flashflood #boulderflood #bouldercreek http://t.co/fe1LuXPpâ€¦,floodColorado2013,1,64,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2011-09-04 20:58:31,2013-09-12 06:55:08,en,subdirecTori,,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['MovePeople'],High
