,Unnamed: 0,ID,Tweet,Event,Retweet_Count,Follower_Count,Source,User_Created_at,Tweet_Created_at,User_Language,User_Screen_Name,User_Location,Event_Decrption,Categories,Priority
906,906,274317493407981568,We're tracking Typhoon #Bopha as it heads towards the #Philippines.  #WCPFC starts on Sunday and will be discussing #tuan and #sharks,typhoonPablo2012,0,15501,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2010-12-07 18:35:15,2012-11-30 01:02:41,en,taotaotasi,"Washington, DC","Typhoon Bopha, known locally in the Philippines as Typhoon Pablo, was the strongest known tropical cyclone to ever hit the southern Philippine island of Mindanao, making landfall as a Category 5 super typhoon with winds of 175 mph (280 km/h).",[],Low
907,907,274432077594759169,[NEWS] Typhoon Bopha is forecast to strike the Philippines at about 15:00 GMT on 4 ... - Reuters AlertNet (blog) | R... http://t.co/UjUK7RGL,typhoonPablo2012,0,6207,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",2012-10-17 05:37:27,2012-11-30 08:38:00,en,PanahonNgayon,Philippines,"Typhoon Bopha, known locally in the Philippines as Typhoon Pablo, was the strongest known tropical cyclone to ever hit the southern Philippine island of Mindanao, making landfall as a Category 5 super typhoon with winds of 175 mph (280 km/h).",['Weather'],High
908,908,274530656321675264,Wag nmn sana tumuloy ung bagyong c #pablo wag sirain ang pasko pls lng ha.,typhoonPablo2012,0,55,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerryÂ®</a>",2009-07-23 18:05:21,2012-11-30 15:09:43,en,pasionOFglai,"If u'll look,then u'll find","Typhoon Bopha, known locally in the Philippines as Typhoon Pablo, was the strongest known tropical cyclone to ever hit the southern Philippine island of Mindanao, making landfall as a Category 5 super typhoon with winds of 175 mph (280 km/h).",['Irrelevant'],Low
909,909,274660784620052480,#Weather Update: Visayas will be greatly affected by Typhoon Bopha(TY Pablo). It might make landfall over Bohol on Tuesday |via @seph_ubalde,typhoonPablo2012,5,320873,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2010-04-15 04:08:32,2012-11-30 23:46:48,en,News5AKSYON,Philippines,"Typhoon Bopha, known locally in the Philippines as Typhoon Pablo, was the strongest known tropical cyclone to ever hit the southern Philippine island of Mindanao, making landfall as a Category 5 super typhoon with winds of 175 mph (280 km/h).",['Weather'],Medium
910,910,274681584194560000,The Watchers - Tropical Storm Bopha upgraded to typhoon http://t.co/VB8TNzyC via @TheWatchers_,typhoonPablo2012,0,2058,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>",2011-03-28 20:00:54,2012-12-01 01:09:27,en,BDWatcher,"In the US, you know. Florida","Typhoon Bopha, known locally in the Philippines as Typhoon Pablo, was the strongest known tropical cyclone to ever hit the southern Philippine island of Mindanao, making landfall as a Category 5 super typhoon with winds of 175 mph (280 km/h).",['NewSubEvent'],High
911,911,274728321307271168,Expected track of Typhoon Bopha in the next 24-72 hrs. Will be a Category 4 storm in 48hrs and in the PAR in 72hrs. http://t.co/qRrnhnHb,typhoonPablo2012,0,7312,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2009-04-11 08:12:13,2012-12-01 04:15:11,en,carabaopower,Bacolod,"Typhoon Bopha, known locally in the Philippines as Typhoon Pablo, was the strongest known tropical cyclone to ever hit the southern Philippine island of Mindanao, making landfall as a Category 5 super typhoon with winds of 175 mph (280 km/h).",['MultimediaShare'],High
912,912,274843333308850177,"RT @dost_pagasa: Typhoon ""BOPHA"" Satellite image as of 01/DEC/12 06:30PM http://t.co/TEjX5fxY",typhoonPablo2012,48,448,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2009-06-13 11:52:29,2012-12-01 11:52:11,en,JOHNERlCK,cavite â‡„ manila,"Typhoon Bopha, known locally in the Philippines as Typhoon Pablo, was the strongest known tropical cyclone to ever hit the southern Philippine island of Mindanao, making landfall as a Category 5 super typhoon with winds of 175 mph (280 km/h).",['MultimediaShare'],High
913,913,274863314985680896,"RT @dost_pagasa: Typhoon ""BOPHA"" Satellite image as of 01/DEC/12 07:30PM http://t.co/SITTaEUO",typhoonPablo2012,101,93,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2011-08-21 03:13:59,2012-12-01 13:11:35,en,kaibiganvince,cagayan de oro city,"Typhoon Bopha, known locally in the Philippines as Typhoon Pablo, was the strongest known tropical cyclone to ever hit the southern Philippine island of Mindanao, making landfall as a Category 5 super typhoon with winds of 175 mph (280 km/h).",['MultimediaShare'],High
914,914,275035356942983168,Sunny Sunday. â™¥ we're hoping typhoon Pablo won't hit our shores.,typhoonPablo2012,0,50,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerryÂ®</a>",2009-09-21 09:34:32,2012-12-02 00:35:13,en,chicsinglemommi,Philippines,"Typhoon Bopha, known locally in the Philippines as Typhoon Pablo, was the strongest known tropical cyclone to ever hit the southern Philippine island of Mindanao, making landfall as a Category 5 super typhoon with winds of 175 mph (280 km/h).",['Irrelevant'],Low
915,915,275043753922789377,"RT @tjmanotoc: Typhoon Pablo to hit PHILIPPINES on Tuesday, forecast to be stronger than Sendong! Be safe &amp; prepared! http://t.co/iY ...",typhoonPablo2012,1040,294,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerryÂ®</a>",2009-03-18 16:30:31,2012-12-02 01:08:35,en,iAmAnneLevitt,Wandering but not lost..,"Typhoon Bopha, known locally in the Philippines as Typhoon Pablo, was the strongest known tropical cyclone to ever hit the southern Philippine island of Mindanao, making landfall as a Category 5 super typhoon with winds of 175 mph (280 km/h).",['Weather'],High
916,916,275045104501260288,#ityphoonapp forecast track of super typhoon Bopha. It's boy scout time.  http://t.co/3gWpfC9R http://t.co/CA8AGMWT http://t.co/MY2mtirk,typhoonPablo2012,0,404,"<a href=""http://itunes.apple.com/us/app/ityphoon/id463238629?mt=8&uo=4"" rel=""nofollow"">iTyphoon on iOS</a>",2010-01-26 03:18:45,2012-12-02 01:13:57,en,bindadu,Bacolod City PH,"Typhoon Bopha, known locally in the Philippines as Typhoon Pablo, was the strongest known tropical cyclone to ever hit the southern Philippine island of Mindanao, making landfall as a Category 5 super typhoon with winds of 175 mph (280 km/h).",['Weather'],High
