Unnamed: 0,Unnamed: 0.1,ID,Tweet,Event,Retweet_Count,Follower_Count,Source,User_Created_at,Tweet_Created_at,User_Language,User_Screen_Name,User_Location,Event_Decrption,Categories,Priority
571,571,378152455005282306,"RT @MarciKrivonen: Wow. RT @HemaMullur: Two trucks, one car submerged after road collapse at Hwy 287 and Dillon. #cowx #boulderflood http:/â€¦",floodColorado2013,9,3533,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2010-07-14 04:48:04,2013-09-12 13:45:45,en,vampirest69," Nashville , Tenn.","The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['EmergingThreats'],Critical
572,572,378158079579127808,RT @HemaMullur: Two trucks and one car in the water after a road collapse at Hwy 287 and Dillon. #cowx #boulderflood @KDVR http://t.co/X27Jâ€¦,floodColorado2013,47,904,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",2008-04-29 22:30:23,2013-09-12 14:08:06,en,curiocious,"Boulder, CO","The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['EmergingThreats'],Critical
619,619,378220553699463168,RT @9NEWS: #COFlood RT @TrevorHughes: Bridge collapse is at 63rd and St Vrain Creek.,floodColorado2013,12,107,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2010-06-13 01:02:31,2013-09-12 18:16:21,en,SarahtAnderson,Colorado ,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['EmergingThreats'],Critical
676,676,379287374947041280,RT @bouldercounty: Road closure map for Boulder County Roads #boulderflood #coflood http://t.co/UHwcYq8zx3,floodColorado2013,14,92,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2009-02-07 16:49:29,2013-09-15 16:55:31,en,LeLouisDeVille,"Louisville, Colorado","The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['MultimediaShare'],High
576,576,378170578588291072,"The folks in #Jamestown were told to evacuate, but the road is washed out and they can't: http://t.co/btyqXlgwyE #boulderflood",floodColorado2013,4,14253,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2007-09-12 18:28:18,2013-09-12 14:57:46,en,bruvs,Denver,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['EmergingThreats'],High
556,556,378127477928783872,Student captures flash flooding on University of Colorado campus http://t.co/VMQc9BBU43,floodColorado2013,0,65,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",2012-08-09 21:52:46,2013-09-12 12:06:30,en,MeredithLMG,"Des Moines, IA","The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['MultimediaShare'],High
583,583,378178661020495872,"RT @roundpegg: Forget biking to work, today in #Boulder we could have kayaked. #boulderflood http://t.co/mMS4NkLgoI",floodColorado2013,4,29524,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2009-01-27 14:21:12,2013-09-12 15:29:53,en,TimWJackson,Denver/Colorado/Everywhere,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['MultimediaShare'],Medium
636,636,379126259143286784,"1,750 people evacuated so far by National Guard due to #coflood  http://t.co/UTjrCm3NGc",floodColorado2013,3,1215,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2011-02-07 16:54:20,2013-09-15 06:15:18,en,CEM0403,Colorado (Arkansas native),"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['Factoid'],Medium
615,615,378217953256157185,City of #Boulder Emergency Declaration: http://t.co/EVesFaAPHF #BoulderFlood -@CNNEditorChuck,floodColorado2013,0,16194,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2008-01-29 15:01:37,2013-09-12 18:06:01,en,btreports,"Missoula, MT","The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['Official'],Medium
601,601,378201062772981761,RT @MikeNelson247: 2:30 AM Mike &amp; Anne still on the air! #BoulderFlood #7News #cowx #Denver http://t.co/qO4E8QgD6d,floodColorado2013,13,61,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2011-11-03 20:15:42,2013-09-12 16:58:54,en,MissChileusa,,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['Irrelevant'],Low
596,596,378195668898021376,I hope no weed plants were damaged. #boulderflood,floodColorado2013,1,10236,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2011-10-04 12:47:57,2013-09-12 16:37:28,en,PokerStoned,,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['Irrelevant'],Low
665,665,379262125211795457,"RT @breakingstorm: 482 people unaccounted for in Larimer County, Colorado, after flooding - @LarimerSheriff http://t.co/OE8z7OaPa3",floodColorado2013,155,23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2009-12-14 18:05:00,2013-09-15 15:15:11,en,JesssMontgomery,California,"The 2013 Colorado floods was a natural disaster occurring in the U.S. state of Colorado. Starting on September 9, 2013, a slow-moving cold front stalled over Colorado, clashing with warm humid monsoonal air from the south. This resulted in heavy rain and catastrophic flooding along Colorado's Front Range from Colorado Springs north to Fort Collins.",['Factoid'],Low
