,Unnamed: 0,ID,Tweet,Event,Retweet_Count,Follower_Count,Source,User_Created_at,Tweet_Created_at,User_Language,User_Screen_Name,User_Location,Event_Decrption,Categories,Priority
722,722,395910924227596288,"RT @nswfire: #nswfires October 2013 sourced info &amp; chronological referencing

#fibrenewsÂ© #australia's leading free community service 
@autâ€¦",australiaBushfire2013,6,3539,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2010-12-15 21:03:20,2013-10-31 13:51:34,es,YeiChireno,,"The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['FirstPartyObservation', 'Official', 'News']",Medium
723,723,396108375261712385,NSW Fire and Rescue have responded to an industrial fire at OneSteel at Mayfield this afternoon. http://t.co/uptuQQEjpL #nbnnews,australiaBushfire2013,0,16017,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",2008-11-12 05:43:02,2013-11-01 02:56:10,en,nbnnews,Australia,"The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['ThirdPartyObservation', 'News']",Low
724,724,396227879375089664,We have a number of RAFT members at fires on the NSW South Coast - best of luck to them - be safe and we will see you soon! @351SJB @ACTRFS,australiaBushfire2013,0,71,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2013-10-31 04:48:25,2013-11-01 10:51:02,en,act_vba,Canberra,"The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['ThirdPartyObservation', 'News']",Low
725,725,388929052247347200,A Total Fire Ban has been declared for the Greater Sydney Region on Sunday 13th October 2013 between 12:00am -... http://t.co/4kwIvUGNUj,australiaBushfire2013,0,74,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",2012-07-07 11:04:28,2013-10-12 07:28:06,en,StaceFishwick,Sydney Australia,"The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['Factoid', 'Official', 'NewSubEvent']",Medium
726,726,388945930130841600,NSW National Parks &amp; Wildlife Service have again advised that tomorrow - Sunday 13 October - due to EXTREME fire... http://t.co/N7aBbvgQJj,australiaBushfire2013,1,474,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",2012-08-25 10:56:46,2013-10-12 08:35:10,en,RFSWestleigh,"Sydney, Australia","The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['Factoid', 'Official']",High
727,727,388955358901067776,"Fire Danger Update - Tomorrow signs will be on VERY HIGH - http://t.co/arvGu19d4d
Southern Ranges Region #NSWRFS Permits Suspended",australiaBushfire2013,4,673,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",2012-03-05 19:47:35,2013-10-12 09:12:38,en,BungendoreRFS,Bungendore NSW,"The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['Official', 'Advice']",Medium
728,728,388986124107927553,"RT @smh: ""Do not light fires in the open"": RFS warns as #Sydney braces for strong winds and hot weather on Sunday. http://t.co/4Y6lLeUeXa",australiaBushfire2013,18,805,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2012-08-31 11:22:51,2013-10-12 11:14:53,en,emmawhitecr,"Newcastle, NSW","The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['Advice', 'News']",Low
729,729,389174297400324096,@AndrewCatsaras just read big fire for Sydney? hope not really serious?,australiaBushfire2013,0,127,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2010-05-12 22:23:43,2013-10-12 23:42:37,fr,castine22,Village Gaulois,"The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>",['Irrelevant'],Low
730,730,389189413667758080,"Another extreme fire danger day for NSW, with heat and thunderstorms creating extreme bushfire danger: http://t.co/8LvhtwugK4 #ANN",australiaBushfire2013,2,6770,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2012-02-14 06:18:22,2013-10-13 00:42:41,en,AusNewsNetwork,Australia,"The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['News', 'OriginalEvent']",Low
731,731,389229293101785089,RT @NSWRFS: #NSWRFS crews are responding to a fire reported in the Salt Ash area (Port Stephens). #nswfires,australiaBushfire2013,6,1083,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2008-12-24 00:42:37,2013-10-13 03:21:09,en,BayFM88,"Nelson Bay-Port Stephens, Aust","The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['FirstPartyObservation', 'EmergingThreats', 'Factoid', 'Official']",High
732,732,389248066819084288,"RT @NSWRFS: Browns Rd, Salt Ash - fire has jumped the Tilligerry Creek and #NSWRFS aircraft and crews are working to contain spot fires. #nâ€¦",australiaBushfire2013,11,20022,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2009-03-05 05:52:42,2013-10-13 04:35:45,en,1233newcastle,"Newcastle, Australia","The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['ThirdPartyObservation', 'EmergingThreats', 'Factoid', 'Official', 'NewSubEvent']",High
733,733,389252483412791296,Forest / Wild Fire - Australia - Australia http://t.co/uxyenGCmO9,australiaBushfire2013,0,245,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",2013-02-03 03:30:30,2013-10-13 04:53:18,en,noonecanstop1,,"The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['ThirdPartyObservation', 'MultimediaShare', 'News']",Low
734,734,389258464461348864,RT @MarkDiStef: Smoke billowing from the car-park at Sydney Olympic Park... where 20 cars are on fire via @Quarriephoto http://t.co/p1NqLSnâ€¦,australiaBushfire2013,28,3453,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2008-04-03 13:34:26,2013-10-13 05:17:04,en,smartbrain,N 53Â°28' 0'' / W 2Â°14' 0'',"The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['ThirdPartyObservation', 'MultimediaShare', 'News']",Low
735,735,389262222561525761,"NSW ** Watch and Act - Webbs Creek (Hawkesbury) **
13/10/13 15:57
 
A bush fire is currently burning between... http://t.co/FCEhEydcuz",australiaBushfire2013,0,1301,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",2011-08-01 10:41:16,2013-10-13 05:32:00,en,TAccidentReport,Australia,"The 2013 New South Wales bushfires were a series of bushfires in Australia across the state of New South Wales primarily starting, or becoming notable, on the 13 October 2013. The user is a response officer in the command and control center for the New South Wales state in Australia. <a href='https://en.wikipedia.org/wiki/2013_New_South_Wales_bushfires' target='_blank'>Wikipedia Page<a>","['FirstPartyObservation', 'EmergingThreats', 'Factoid', 'Advice']",High
