,Words,Vectors
0,level,"(-0.014714615, 0.035295334, -0.007988171, -0.02209922, 0.049662296, 0.021608263, 0.041108046, 0.023978282, -0.00016074415, -0.021872953, 0.01224547, -0.05287225, -0.023924584, -0.04207587, 0.0006922535, -0.051519368, 0.05247472, 0.05034176, 0.029543374, 0.018837769, -0.051813554, 0.040000856, -0.017886503, -0.017728757, 0.041373666, 0.03397363, -0.02343558, 0.027831083, -0.04253648, -0.025803791, 0.012460787, 0.012856477, 0.021303574, -0.045658004, 5.30629e-05, -0.0021353043, -0.002111124, 0.049767073, 0.0444875, 0.045803457, -0.04829144, 0.055951703, -0.04478915, -0.031203533, 0.0013022115, -0.028924253, -0.025601368, -0.04151421, -0.044731632, 0.053677686, 0.04286317, 0.01813445, -0.0054003894, 0.0341197, -0.020931693, -0.00037513062, -0.0031401105, 0.022893336, -0.01746056, 0.011992447, 0.012593046, 0.010336509, 0.009105133, 0.016009815, -0.045543954, -0.047593556, 0.0052182456, -0.018685587, 0.0026150204, -0.00458247, 0.036582686, -0.028699592, 0.021884682, 0.03156099, 0.031197006, -0.006174599, 0.045656893, 0.0079254275, -0.029859815, -0.007038543, 0.028551174, -0.032483134, -0.013263025, 0.04755137, -0.04367506, 0.03833474, -0.039136134, -0.022603117, 0.023719076, 0.011272821, -0.03810494, 0.033968292, -0.020154443, -0.048526425, -0.00067221595, 0.033586733, 0.01245201, -0.00073740317, 0.02341197, 0.03337428)"
1,condition,"(0.04212356, 0.03386152, -0.02950939, -0.029003574, 0.037888255, 0.0003588423, -0.02973168, 0.016100671, 0.035471294, -0.016365767, 0.015689883, 0.03929651, 0.028079119, -0.016484164, 0.043591987, -0.033716418, 0.024692241, 0.046754766, 0.04590788, -0.047398698, -0.024246013, 0.0495379, 0.00030468777, 0.029852781, 0.030765388, 0.037542824, 0.032944027, 0.03561398, -0.04313543, 0.026006948, -0.0020595416, 0.038741026, -0.0039052144, 0.0386245, -0.028242458, -0.0028501973, -0.0023766868, -0.031050552, 0.017083291, -0.025841773, -0.021204675, 0.049802277, -0.0031248108, -0.03804474, -0.023267472, -0.029073799, 0.0040119775, -0.01890775, 0.034224097, -0.0023902282, -0.0046853423, 0.024746966, -0.00095759705, 0.048283327, -0.037344255, -0.016790532, 0.012997057, 0.042425726, 0.019479763, -0.022858834, 0.03168768, 0.03477775, 0.046419334, -0.04418806, 0.009707462, -0.024543846, -0.03354782, -0.028414154, -0.02739023, -0.024445284, -0.0016734004, -0.012889348, 0.0010359064, -0.03767208, 0.04116482, 0.022285942, 0.043390643, 0.043752063, 0.017657649, -0.026373435, 0.024587955, 0.046428908, 0.006430246, -0.041936897, -0.0035191998, -0.046322215, -0.017086577, -0.0322724, 0.047080163, 0.007874418, 0.039694298, 0.027896557, 0.036626462, -0.03914944, -0.0011574142, 0.014123503, -0.0351457, 0.009755634, -0.009899449, 0.03676598)"
2,Paz,"(-0.0036578663, -0.047694553, 0.041258488, 0.030768108, -0.009887267, 0.011514913, 0.03826255, 0.013052437, -0.024334526, 0.03169247, -0.017577589, 0.010210048, 0.03343835, -0.015049756, -0.02679137, -0.0013916865, 0.026560757, -0.016213141, -0.028293658, -0.03148768, 0.018009309, 0.039707635, -0.009208392, -0.03485055, 0.0098009, -0.029811515, 0.010033023, 0.038713682, -0.03600396, -0.029374445, 0.017085973, 0.004917763, 0.028242674, -0.01502366, -0.042967904, 0.047432687, -0.0025893562, -0.0007438883, 0.03579421, -0.023117458, -0.024249483, 0.014560413, -0.02684995, 0.03320569, 0.041243497, 0.0154845975, 0.039013658, 0.029630434, -0.049524367, -0.005807735, -0.040632915, -0.0035637245, -0.034482382, 0.015432302, 0.0058194026, -0.022792816, 0.044762526, 0.04359777, -0.011945389, 0.0028546937, -0.0070380457, -0.015717674, -0.0103260875, -0.008130491, 0.031370368, -0.02691493, -0.04232503, 0.049589563, 0.043093894, -0.003974557, -0.021762121, 0.020313505, -0.019715775, -0.010659851, 0.0032813773, 0.044973437, -0.04239881, 0.04103745, 0.045898292, 0.030572738, 0.032016624, 0.010024261, -0.026733661, -0.007430829, -0.010224439, 0.043358136, 0.007065177, 0.029201355, -0.015069343, 0.017537165, 0.014678765, -0.03927697, -0.014616407, -0.030085672, 0.01230035, -0.029665709, 0.02533931, 0.045379136, -0.023297668, 0.04559057)"
3,GENERATOR,"(0.029952811, 0.04021182, -0.019386454, -0.028368162, -0.010039861, 0.017985348, -0.0007345213, -0.004659105, -0.03899888, 0.016406216, 0.050629422, 0.0038504777, 0.019656627, 0.045781042, -0.02566086, 0.019048702, 0.060028736, 0.05743109, -0.025702571, 0.015971776, 0.033163603, -0.024239196, -0.027948964, 0.021948524, 0.026605166, 0.017070444, 0.0082728015, 0.014047345, 0.06036647, -0.024254639, 0.024692228, -0.0051688994, 0.038553074, -0.0006076911, -0.015206287, 0.041684553, 0.050742656, -0.05119039, 0.0524728, -0.05361584, 0.058471825, -0.050063953, 0.023059962, -0.033049148, 0.042785533, -0.044555467, -0.0056506586, 0.0016243038, -0.0061847386, -0.03208687, -0.020924281, -0.024216007, -0.0023024923, -0.054689962, 0.050694488, -0.0283829, -0.03882175, 0.01993206, 0.044040892, 0.04469865, -0.029795308, -0.050678767, -0.05852433, -0.021570254, -0.03479482, -0.024267074, -0.008263326, -0.021143857, -0.0053953663, 0.011255411, 0.03394404, 0.0030615632, 0.004814075, -0.041520134, -0.039386693, -0.0057936604, 0.002599672, 0.008705831, 0.029755984, -0.04402883, -0.017389923, -0.04913274, 0.03356891, -0.005510712, 0.045329586, 0.017840125, 0.0485156, 0.05918443, -0.031579204, -0.013521909, 0.059947968, 0.005085416, -0.025209738, 0.01709498, -0.004720558, -0.036207303, 0.0020298024, 0.020177066, -0.0044382005, 0.013403682)"
4,Manila,"(0.0066279382, -0.043299828, 0.038502887, -0.034803007, -0.043822076, -0.03556408, -0.015620406, 0.0066454764, 0.029593943, 0.058477994, 0.027515339, 0.036299862, -0.018433059, 0.021328302, -0.058557957, -0.0057689054, -0.0032756587, 0.041633856, -0.050975177, -0.033334564, -0.025242008, -0.028030649, -0.019601274, -0.022724278, 0.0054945517, -0.00043296244, 0.021590402, -0.017087096, -0.018476574, -0.004783954, 0.012995762, -0.027525123, 0.007983399, 0.03872123, 0.01842269, -0.018763311, 0.013306875, 0.0067662164, -0.0050421744, 0.0402584, 2.6405374e-05, -0.056597043, 0.030677086, -0.03166511, -0.005041882, 0.036521208, 0.021873794, -0.045397107, 0.05724291, 0.023916664, 0.0018961147, -0.0009039394, -0.009739967, 0.023755781, -0.0062397886, 0.01629787, 0.048593577, 0.016663566, -0.028670322, 0.002826363, -0.0418882, -0.044912163, 0.018081818, -0.032717872, -0.038283344, 0.02008261, 0.015222208, -0.0318357, -0.044994302, -0.028224232, -0.04867539, 0.017900739, 0.027500767, 0.034789857, -0.0040577543, 0.0023727906, 0.013069237, 0.01994868, 0.0507067, -0.027345704, 0.0074451594, -0.057674687, -0.03872175, -0.0093116285, -0.014228689, 0.040238533, -0.023024755, 0.018388068, -0.036478918, 0.014266878, 0.048549574, 0.0068629407, -0.033363476, 0.026320916, 0.0022268, 0.030810585, -0.037936002, -0.025291732, 0.038592793, -0.034479987)"
5,ISAAC,"(0.040622797, -0.0021746978, 0.028626028, 0.03258052, 0.03653914, -0.01319591, -0.005731225, 0.016012337, -0.044946313, -0.016415965, -0.021031141, 0.000119268894, 0.01843777, -0.047260154, 0.03510083, 0.009744085, 0.010248303, -0.031681456, 0.03570969, 0.036531042, -0.042193305, -0.005492974, -0.0075058714, -0.026804185, -0.03560544, -0.043577325, 0.031886388, 0.032040384, -0.023427129, -0.014610637, -0.012252141, -0.0063109286, -0.047237992, 0.011126615, 0.009833682, 0.009876609, -0.023472214, 0.035741057, -0.010491896, -0.039323747, -0.014275003, 0.0076419115, -0.020688271, -0.039233923, -0.046275426, -0.046191692, 0.017999027, 0.027142141, -0.03272847, 0.042671885, -0.017935563, 0.019851256, 0.026222918, 0.03881714, -0.033126224, -0.03640423, 0.015462626, 0.044822607, -0.047870256, 0.023188565, -0.029286003, -0.0052376874, -0.0053662434, 0.009473454, -0.015347708, -0.037516497, 0.018495765, -0.0005028732, -0.012094855, -0.015319407, 0.002867736, -0.016116895, 0.013415109, 0.0251627, -0.031108951, 0.030842375, -0.035108186, 0.040104095, -0.024475252, 0.047728587, -0.049288, 0.015204761, 0.029911827, 0.035909105, -0.045382857, 0.0138708465, 0.033351693, -0.020966781, 0.041012775, -0.020963324, -0.012203358, 0.04965884, -0.011235632, 0.044733945, 0.023866955, 0.04603566, -0.03604678, -0.03456893, 0.04159156, 0.03785893)"
6,bridge,"(-0.015291203, -0.012195848, -0.009095013, -0.009524085, 0.002001632, 0.0018198974, 0.0036889426, 0.017796386, -0.00027046353, 0.034822706, -0.014291823, -0.030807985, -0.028466035, -0.035939645, -0.008597232, 0.019132365, -0.04623122, 0.042150978, 0.040191952, -0.0019906275, 0.00888437, 0.00033839792, 0.010864448, -0.02471987, 0.0414374, -0.018582057, 0.023423318, -0.027799701, 0.023384336, 0.004200399, -0.030272258, -0.024978315, -0.030899514, -0.039292086, 0.019103218, -0.040035747, 0.007911064, 0.036377516, 0.03347489, 0.045044933, 0.014757965, -0.022856295, 0.0018415563, 0.007861793, -0.027192617, -0.0034097545, -0.017813645, -0.010649979, -0.0074172504, -0.007572841, 0.023602512, -0.012107145, -0.029896736, -0.031320035, 0.0001892671, 0.038593125, 0.048847582, -0.024164213, -0.022155046, 0.009090472, 0.023059163, -0.0031336546, 0.032604728, -0.0049324743, -0.04280889, 0.0410817, -0.025877321, 0.017352883, 0.024655748, 0.037266556, 0.03213949, 0.011863362, 0.0162681, -0.030157555, -0.019730413, -0.014404394, -0.0462021, 0.015440118, -0.017932713, 0.010643195, 0.012892727, -0.042514242, -0.048461866, 0.021049034, 0.013007488, -0.014320146, -0.029105796, 0.04158807, 0.044645082, 0.049631085, 0.0054309256, -0.024289299, 0.046637345, 0.037252378, -0.032193325, -0.01182083, -0.02687229, 0.016934898, -0.014801264, -0.025557196)"
7,2011,"(-0.041982852, 0.0494601, -0.018507168, 0.03993047, -0.051962603, -0.0087894425, 0.032767944, 0.010037492, -0.036646903, -0.0072985785, -0.03633167, -0.034930248, 0.012208676, -0.017537182, 0.037088566, -0.053125937, 0.031891353, 0.025664553, -0.0047054356, -0.049320005, 0.0005989463, 0.044174552, 0.0076521146, -0.035316966, 0.034779903, -0.03267742, 0.041656956, -0.0024203823, -0.014718261, -0.028141936, 0.026378779, -0.012918161, -0.020528609, 0.01076692, -0.032075234, -0.030732345, 0.011187238, -0.05317402, -0.0379448, 0.006472858, 0.0343621, 0.038988, -0.02883334, 0.0013223465, -0.0256361, -0.020978153, 0.05282164, 0.028686216, 0.008350089, -0.053801265, -0.023920733, 0.005757966, -0.013485844, -0.026234023, 0.04832944, -0.04509702, -0.005480439, -0.012100284, -0.022940388, 0.041148234, -0.007948127, 0.020143338, 0.013990323, -0.019036915, -0.034337953, 0.018120376, -0.028713068, -0.04127052, 0.03731161, -0.016858758, 0.010968228, -0.02172009, -0.014168583, -0.014866839, 0.036290385, -0.043646332, -0.028360173, -0.0143129295, 0.045955714, -0.046356354, -0.02770237, -0.0076136366, -0.026498977, 0.042633705, 0.023875507, 0.023075232, -0.012914188, -0.02389353, -0.012062484, 0.022974411, 0.044047713, -0.03986901, 0.026796913, -0.019335562, -0.0183088, -0.041356143, -0.011779652, -0.039569918, -0.031767976, -0.008484431)"
8,help,"(0.035946403, 0.043942515, -0.020190645, 0.0045410506, 0.0013132095, -0.017498385, 0.020629298, -0.0015501976, 0.022932839, 0.036131036, 0.041930642, -0.029453946, 0.019545708, -0.04275476, 0.0039639957, 0.042132486, -0.021395719, -0.008212768, 0.036697034, 0.042075638, 0.046813283, 0.0025707968, -0.049658895, -0.039585352, 0.025454286, -0.033921503, -0.02553798, 0.011947252, 0.042839516, 0.03151354, -0.008477461, -0.04003779, 0.040629137, -0.024220575, -0.041657794, -0.048927736, -0.0132017955, -0.00801586, -0.040410064, 0.009197641, -0.036981903, -0.015851937, 0.02430905, -0.017674256, 0.028058354, 0.03133, -0.04565027, 0.00902722, 0.003475476, -0.017230093, 0.045855787, 0.0061393976, -0.023550129, 0.023460139, -0.0030254498, 0.0067133307, -0.002752494, 0.019718137, 0.028825428, -0.049958505, -0.012192678, 0.0030512214, 0.011331666, 0.01968905, -0.026416361, 0.034960892, 0.0004308112, 0.020485606, -0.03441894, 0.0047947764, 0.0029806122, -0.026728189, -0.023274899, -0.023328459, 0.014927272, 0.039932717, -0.0034187064, -0.023566986, 0.041045096, -0.0003979206, 0.047962952, 0.040180955, 0.009693146, -0.043220904, 0.0019010194, -0.008675851, -0.008934569, 0.03309231, 0.045450594, -0.021663522, -0.019178629, 0.039109554, -0.037608493, -0.04577738, 0.045921776, -0.03579881, 0.020066347, 0.0037149563, -0.011296116, -0.006057836)"
9,Rescue,"(-0.0035596378, 0.010955967, -0.029926885, 0.04027715, -0.040926278, 0.034074012, 0.04304597, 0.04866096, -0.025905801, 0.018835548, 0.014995504, 0.027134765, -0.004161548, 0.03698578, 0.04736009, 0.0062266216, 0.004608214, 0.038923208, 0.032414403, 0.009687483, 0.022677246, 0.006977655, -0.03888948, 0.016942356, -0.021629859, 0.0052046403, 0.013045166, 0.006299041, 0.03594934, -0.049414445, 0.006341506, -0.012164213, -0.044383254, -0.01897632, -0.0009196885, 0.0010551699, -0.028203154, 0.0040414818, -0.031448055, -0.019790519, -0.016556777, 0.017935205, -0.014909603, -0.01721257, 0.009545051, 0.02873924, 0.015334081, -0.046091296, -0.005909048, -0.012517013, -0.048261967, 0.0028594136, 0.045121167, 0.04587022, -0.01777973, -0.039266992, 0.036790464, 0.014814783, -0.033030428, -0.04515616, 0.046120714, -0.04118339, 0.045203056, -0.042269956, 0.049185324, 0.038600687, 0.04798195, 0.010253631, 0.015652921, 0.038494114, -0.020842386, -0.036461115, 0.016562168, 0.02012359, -0.04621197, -0.008106448, -0.045326915, -0.035224188, -0.0057345517, -0.030167306, 0.045699727, 0.028444435, -0.003422141, 0.006638445, 0.047168005, 0.02207395, 0.0077106357, 0.019390453, 0.0038690194, -0.0045521036, 0.00030497462, 0.04318912, 0.023549091, 0.041901376, -0.0051778927, 0.012610044, 0.03256153, -0.04275277, -0.03407778, -0.031725958)"
