,Words,Vectors
0,level,"(0.007220434, 0.032835126, -0.019287415, 0.017116668, -0.009671826, -0.036239944, -0.0019854945, -0.010351018, 0.049290117, -0.0031549868, 0.019146916, 0.047065806, -0.03428501, 0.033816453, -0.044692725, -0.02387826, -0.03075065, 0.046074882, 0.031336397, -0.009770911, 0.042043682, -0.010287067, 0.032833464, -0.018143093, 0.027108513, 0.037668925, 0.053083774, -0.0031845924, -0.03114229, 0.0062358924, 0.051698916, 0.0030283553, 0.04470166, 0.025471656, 0.04306067, -0.02317934, -0.0113844955, 0.016064523, 0.0005782628, 0.0014561944, -0.048970383, 0.0013184516, -0.026939504, -0.037394263, -0.02355307, 0.040248115, -0.032151375, -0.04096523, 0.011631539, 0.008524883, -0.011269399, -0.008193466, -0.011674363, 0.022113586, -0.050260525, 0.0029805254, -0.0005999799, -0.051649477, 0.04442425, 0.04458494, -0.026542699, 0.023049159, 0.04415449, -0.04087404, 0.03541098, 0.037740923, -0.037220128, -0.0009592969, 0.024814418, 0.01840006, -0.03456487, -0.033529125, -0.0034146232, 0.029240014, 0.006736192, 0.03356727, -0.0047418005, 0.010699971, 0.01815023, 0.042834982, 0.022798244, 0.03850315, 0.038324248, -0.04414317, 0.01929254, -0.016077911, -0.014047097, -0.0059008542, 0.008032241, 0.043461308, 0.033555474, -0.05189654, 0.0046463218, 0.00888755, 0.02342159, -0.049984124, -0.013829047, -0.030265778, 0.019887617, 0.032470595)"
1,crash,"(-0.023503125, 0.026375163, -0.022937452, 0.04526304, 0.028050113, 0.0038493164, 0.035148095, -0.010612298, 0.04115658, 0.034828153, -0.027410198, -0.0065944195, -0.045579027, -0.02802583, -0.011565663, 0.0030122772, 0.013293494, -0.035081994, -0.036739133, -0.007635139, -0.0030036457, -0.042170763, 0.0074903853, 0.04258107, -0.046346605, 0.043980125, 0.020691905, 0.040415917, -0.010074448, -0.044529915, 0.008358695, -0.015157364, 0.04279646, -0.028604006, 0.023581218, 0.04992899, 0.042768802, 0.0035744794, 0.03770337, -0.01507188, -0.019676303, 0.03938068, -0.021515382, 0.04195446, 0.048261095, 0.013385449, -0.009883452, -0.014061619, -0.04641453, 0.011461306, 0.0013480783, 0.03177223, 0.013821017, 0.0026017204, -0.003779672, -0.035461057, -0.0017045625, 0.02162354, 0.010080777, -0.027917374, 0.0080478415, 0.0077335127, 0.04116762, 0.017770875, 0.041539226, 0.03791151, -0.0036448464, 0.0016007908, 0.025680628, -0.01637999, 0.0038432106, 0.039927635, 0.042707387, 0.010563899, 0.046106424, 0.044224147, 0.00066411495, 0.022594873, 0.045416895, 0.04719052, -0.019882882, -0.0044203512, 0.041279864, 0.03624356, -0.011726547, -0.031283334, 0.017229918, -0.003355611, 0.02753457, 0.013868276, -0.019115532, -0.032375768, -0.043875765, 0.01886845, -0.021180201, -0.029574323, 0.04871812, -0.015999746, 0.02896576, -0.035968207)"
2,Paz,"(0.032371227, 0.043731716, 0.0029896386, 0.03139541, -0.012869321, 0.01914591, -0.000803899, 0.037794422, 0.026096117, 0.040933993, -0.023896027, -0.023838533, 0.03331982, 0.049709592, 0.0013432391, 0.030541327, -0.027125407, 0.025882449, -0.01696409, 0.048241865, 0.04788165, -0.023647666, 0.025316034, 0.0278677, 0.0066691637, 0.029137697, 0.041806225, 0.03538699, -0.028523076, -0.0027201176, -0.04811418, -0.044318784, 0.0212924, 0.028262284, 0.046621595, -0.010256004, 0.042402234, 0.012349069, 0.039764773, -0.024920905, 0.04172032, -0.039470457, -0.043312278, -0.042185415, 0.04770304, 0.03406285, -0.021756863, 0.035627354, 0.046765957, -0.019457592, 0.013012435, 0.005886961, -0.039341867, -0.033089317, -0.046942748, 0.0037237406, 0.04728159, -0.0045456514, 0.04168785, 0.015950892, 0.017721903, -0.012759279, -0.007357765, 0.03648139, -0.028857077, 0.045989726, 0.04347897, 0.0108890645, -0.02252332, -0.03358295, 0.029948022, 0.008338213, -0.03955804, 0.021681104, 0.010131098, -0.033241976, -0.01972915, -0.041922905, 0.04343753, -0.033286095, -0.03927412, 0.031980906, -0.014812816, -0.028918505, -0.039228342, 0.028593909, -0.021255314, 0.019291226, 0.048879746, -0.026925458, 0.0043615587, -0.018358015, -0.02118826, 0.0058452003, 0.003552366, 0.017978098, -0.047606207, 0.025924478, 0.033914316, -0.04612739)"
3,yycfloods,"(0.032105375, 0.004874695, -0.0406772, 0.04692689, 0.016656663, -0.046114683, 0.04045451, -0.004045747, 0.033087555, -0.043971825, -0.026816368, 0.02165598, -0.008030068, -0.026167989, -0.03328377, -0.022503627, 0.03163444, 0.00839027, 0.04904015, 0.009008288, 0.046431173, -0.048606407, -0.01975261, 0.043752063, 0.012742985, -0.046804916, 0.03325597, -0.012807321, -0.027895272, -0.023091078, 0.033019755, 0.0069498196, 0.0035149232, 0.019632552, -0.027113175, 0.0059012882, 0.014913645, 0.049394455, -0.028769625, -0.034769975, 0.011201583, -0.03445028, -0.04844266, 0.04678836, 0.048247363, -0.013792157, 0.018196609, -0.026984228, 0.041512858, -0.02762642, 0.008811843, 0.02188475, -0.022204638, 0.027076159, -0.039740466, -0.0028019175, -0.012957394, 0.008487545, -0.01509247, 0.0016203299, -0.048071813, 0.012274168, 0.012356378, 0.006582927, -0.023177946, -0.014645435, 0.013192203, -0.04193915, 0.018261183, -0.04763161, -0.014433373, -0.026666189, -0.008749653, -0.04171927, -0.048079193, -0.033182576, -0.027364481, 0.028169844, 0.036449615, -0.0062431917, -0.038538717, -0.019674886, -0.027802026, -0.04901111, 0.038378213, -0.03660655, -0.012046792, 0.023919675, -0.030178297, -0.025363827, -0.031681083, 0.036519494, -0.008704852, -0.007954501, 0.018949714, 0.032784868, -0.032577313, 0.009895444, -0.046067405, 0.0059621558)"
4,Manila,"(0.037518706, 0.046886303, 0.020557076, -0.008540981, 0.05173778, -0.049025383, -0.0042681503, 0.04075765, 0.034336027, 0.02328387, 0.009991145, -0.0337736, 0.030846171, 0.013401205, 0.024296364, 0.036320653, 0.032853864, 0.037065916, 0.037512098, 0.029479362, -0.03161307, -0.010725559, -0.014758001, 0.01591927, -0.014326077, -0.019811217, 0.02840303, -0.006727426, -0.026208166, 0.010766821, 0.020311305, -0.021202687, 0.03759748, -0.04569723, 0.03242686, 0.002236197, 0.015988234, 0.027735872, 0.010569129, -0.028113227, -0.018817998, -0.01264592, 0.021421777, -0.009100403, -0.035762336, 0.0062063676, 0.017967047, 0.04582676, -0.0055045597, 0.010877136, -0.002288403, 0.036652792, 0.03826142, 0.040964957, -0.01392808, -0.009506622, 0.022403605, 0.0009964639, -0.029038442, 0.025387488, 0.03273517, -0.011905718, 0.008021527, -0.03850825, -0.024653528, -0.03501259, 0.008004623, 0.01527102, -0.053626884, 0.022601375, -0.011793212, -0.047410022, 0.047965303, -0.009191826, 0.041536283, 0.01832593, -0.02796124, -0.051203668, 0.03665479, 0.0541986, 0.035021435, 0.008177391, 0.032389503, -0.03403183, -0.00287041, 0.0049119345, 0.019545237, 0.021496784, 0.022286816, 0.020265639, 0.0032709448, -0.022214616, -0.009254822, -0.021288505, -0.0025693262, 0.04471433, 0.0065134177, 0.024384545, 0.018360043, 0.010682121)"
5,ISAAC,"(-0.021883642, -0.0028635487, -0.00091664866, -0.03718231, 0.046665516, -0.036579955, -0.021682441, 0.037395168, 0.032585654, 0.01043465, 0.025915597, 0.023525719, -0.02925632, -0.012288343, 0.016554963, -0.0061819926, 0.029645626, -0.0485139, 0.040931452, 0.010297228, -0.031473532, -0.04095726, -0.0049267523, -0.025092185, 0.016465392, 0.027854513, 0.038857687, 0.015848588, -0.04183867, 0.012033831, 0.02985486, 0.04868069, 0.021847103, -0.041489877, -0.047154557, -0.007903207, 0.019420352, 0.025196519, 0.008540116, 0.0078571215, -0.0072678216, -0.024138344, -0.019255126, -0.021504307, 0.0135651715, 0.013016868, 0.04089767, -0.013584863, 0.0052602403, 0.049620185, -0.028878367, -0.0053872094, 0.01745217, 0.043665078, 0.028557066, -0.031112958, -0.006372262, 0.044684183, -0.007026911, -0.01666554, -0.043147113, 0.036586296, 0.006016027, -0.042729534, -0.04849365, 0.016812693, -0.004576884, 0.02386726, 0.041542973, -0.030260755, -0.034897603, 0.046903465, -0.0055664666, -0.0140352845, -0.024740506, -0.022615958, 0.022422422, 0.017365668, -0.018123724, -0.047543775, -0.019676685, 0.048436414, 0.043657016, 0.008216906, -0.014921617, -0.034784712, 0.02139647, -0.025477946, -0.031925514, 0.005857922, 0.0012317672, 0.008851994, 0.046016227, -0.01023481, -0.017268084, 0.029345345, 0.0026331656, 0.04964215, 0.03142078, -0.049020946)"
6,2011,"(0.009836804, 0.024289403, -0.0040587075, 0.0051035285, 0.0376747, 0.020201419, 0.027668525, -0.045025792, -0.031282008, 0.01685888, 0.015008453, 0.041588735, -0.024380779, -0.04696231, 0.024937104, 0.047235336, 0.0107676275, -0.018856943, 0.007039152, -0.0064053535, 0.045588996, 0.034911368, 0.045209948, -0.013575841, -0.020821488, -0.039290093, 0.025448177, -0.049073935, 0.037173618, 0.035849597, -0.030193662, 0.006778814, -0.046634745, 0.022790838, 0.033995036, 0.010956775, -0.007817447, 0.008774329, 0.01935779, -0.03618636, 0.041389372, 0.0037642233, 0.019736316, -0.039322913, 0.0407247, -0.047401585, 0.017591182, -0.021286393, 0.044203866, -0.003150642, -0.013791561, 0.048469294, -0.008461714, 0.039547358, -0.0034006946, -0.025282575, -0.01147344, -0.007397305, -0.0059966072, 0.03119849, -0.032818604, 0.019320134, 0.030598555, -0.03837862, -0.009338569, 0.040632118, -0.027440418, -0.043795563, -0.0027133003, -0.034402717, -0.046178926, 0.03261492, -0.040003456, -0.0368873, -0.0011815429, -0.02581817, 0.027811874, -0.034371436, 0.007977366, 0.037012424, 0.032989312, -0.010973372, -0.01361195, -0.03644873, -0.017683603, 0.0033541918, 0.034075294, -0.011992861, 0.005942572, 0.015148137, -0.02972517, -0.047952976, -0.04983429, 0.028437186, 0.026103292, 0.022877742, 0.034149777, -0.017281365, -0.04758364, -0.009660304)"
7,bridge,"(-0.015405498, -0.011642516, 0.041706774, 0.010397185, 0.033908058, -0.01480465, -0.019875467, -0.03783164, -0.011453081, 0.025098648, -0.04852389, -0.045155693, -0.0126477, -0.010171235, 0.0072658285, -0.005539786, -0.019977152, -0.00010078028, 0.007898759, 0.01610135, -0.003973961, 0.013924014, -0.020290697, -0.049268164, -0.047160603, 0.031061698, 0.046332967, 0.018295456, -0.037479497, -0.045945942, 0.019538794, 0.02996016, -0.044531573, 0.042101357, 0.029968176, -0.011622094, -0.027190162, -0.03664287, 0.01939508, -0.045289338, 0.005956851, 0.042980764, -0.010582756, 0.033341076, 0.007411588, -0.034676634, 0.010449659, 0.043832306, 0.0489993, 0.036864508, 0.007491432, 0.032563757, 0.009258758, 0.013376046, -0.015459299, -0.02562399, -0.0008130558, 0.020971585, 0.017555866, -0.041277766, -0.020951463, -0.0016515367, 0.0062173977, 0.02465291, 0.04530504, 0.011434279, -0.02718916, 0.011551369, -0.011086203, -0.011723675, 0.036949884, 0.01974145, 0.034331355, -0.028078234, -0.017799877, 0.024743509, 0.014113639, -0.01375711, -0.04727794, 0.015012953, -0.024062002, 0.047278713, 0.009569727, -0.010463905, -0.0014890805, 0.02819581, -0.04772457, 0.034747053, 0.048088077, -0.04164045, -0.045129336, 0.025113229, -0.0135288015, -0.014433287, -0.04598234, 0.009309031, -0.035152603, 0.04072428, -0.029674828, -0.014196001)"
8,Real_Rodeo,"(-0.042194843, 0.013753369, -0.012766448, -0.018605826, -0.01171495, 0.031477675, -0.02493015, 0.014673893, -0.03482527, -0.024981303, -0.022151012, -0.0114958985, 0.042877868, 0.02036185, -0.0011982471, 0.053559065, -0.028027548, 0.043182433, 0.051737536, 0.028713515, 0.036247034, -0.035029475, -0.03721114, -0.02512479, -0.039547075, 0.023393594, -0.031355422, 0.040645864, -0.0059688846, 0.03785854, -0.014030299, 0.01923299, 0.0110087, -0.007725301, -0.044280075, -0.0054129492, 0.002726733, -0.020306956, 0.041831743, -0.009996653, -0.005149103, -0.003601637, -0.023462042, 0.024111226, 0.028161202, -0.016581042, -0.00084036414, -0.039908383, -0.035608448, -0.014908086, 0.040127564, 0.023008686, 0.0327712, 0.012940375, 0.028047154, -0.032185618, -0.030274097, -0.0011336023, -0.027998874, -0.027638227, 0.014614837, 0.0075697596, 0.009978412, 0.034881763, 0.019918995, 0.01259835, -0.00320263, -0.029317694, -0.02935677, 0.008726923, -0.018450705, -0.050192382, 0.024949195, 0.0052932953, 0.05453846, 0.01129357, -0.05611721, -0.02537114, -0.036007553, -0.00049471925, 0.03183206, 0.015683189, 0.042275146, 0.04844146, -0.002110453, -0.027827594, 0.043235905, 0.0030411654, 0.041667677, -0.04282542, 0.0104590515, 0.03738572, 0.035262007, 0.03864871, 0.018314553, -0.012282613, -0.032120533, -0.051080823, -0.031331297, -0.045330267)"
9,help,"(-0.021644603, -0.03845434, -0.013882615, 0.041361548, 0.025135038, 0.039782263, 0.016986316, 0.0023045638, 0.04429906, -0.0035552247, 0.013668442, 0.019111639, 0.047945376, -0.037952513, 0.008112249, 0.0211949, -0.042881258, 0.03603578, 0.0341284, 0.04672226, 0.0006660503, -0.00034042928, -0.013262816, -0.004555974, -0.038428284, -0.021580052, 0.012465715, -0.018496761, 0.049907845, 0.04198405, 0.028861223, -0.041299623, 0.042100944, -0.047588803, -0.008854411, -0.008928492, -0.0416693, 0.02049512, -0.029318426, -0.023351775, -0.03195268, 0.032850597, 0.022955058, 0.039438456, 0.020159518, 0.027383432, 0.015806882, -0.007925914, 0.030752232, -0.034852136, 0.043593366, -0.013725453, -0.037291743, -0.037351873, -0.020754838, 0.021564877, 0.02456485, 0.044865597, 0.055368114, 0.0151344035, 0.04783017, -0.0140158385, -0.019656874, 0.011076864, 0.005845679, -0.014268386, 0.009343809, 0.025699168, 0.0277996, -0.00050592294, 0.009724593, -0.05054157, 0.010052931, 0.04230076, 0.021008123, -0.021163506, 0.029666375, -0.034103476, -0.0071826037, 0.020038854, -0.008704687, -0.01249066, 0.016076248, -0.011692793, -0.048729267, -0.006317038, -0.014366606, -0.046210747, 0.018418947, -0.016986696, -0.0075665815, 0.04289132, 0.053218495, -0.034278143, -0.007310449, 0.0361435, 0.0353926, -0.044413492, -0.04232616, 0.028002169)"
