,Words,Vectors
0,level,"(0.030051524, -0.035018463, 0.015529023, 0.022034915, 0.015887352, -0.01628854, 0.015916595, 0.05939229, 0.035048455, -0.022427645, 0.04642882, -0.017888922, 0.04654983, -0.015349576, 0.0069908416, 0.03444545, -0.02843865, -0.031436633, 0.018435704, 0.043648373, -0.053794783, 0.041910436, -0.0051739346, 0.02769752, 0.039251477, 0.007918384, 0.020666562, -0.00021355861, 0.0057892837, -0.01891405, 0.01367862, -0.028775416, 0.057705544, 0.03602165, 0.014932746, 0.0045070946, 0.036531527, 0.044509366, 0.024966683, -0.052113693, -0.03710054, 0.048274472, -0.006227542, 0.02271581, 0.037572723, -0.017035652, -0.0054184697, -0.011961689, 0.0071618883, -0.016223188, -0.046921317, -0.036658052, -0.021706644, -0.026081013, 0.035554122, 0.020098507, -0.027056025, 0.00021722658, -0.042053312, 0.05026569, 0.032858238, -0.038176022, 0.004486796, -0.035505652, 0.0018068894, -0.0028421136, 0.0027787797, -0.011820901, -0.0013820496, -0.016538445, 0.03627331, -0.033033844, 0.036896244, -0.003434774, 0.04184076, -0.004240267, 0.02891734, 0.04667232, 0.016974008, -0.012919921, 0.04751856, 0.03278665, 0.043226108, -0.031131828, -0.022309242, 0.03741569, -0.0017845961, 0.03411933, -0.021646515, -0.04559194, -0.046866395, 0.050343323, -0.028268002, 0.042824224, 0.028561488, 0.043363154, -0.016185632, 0.009080293, 0.024072066, -0.020316424)"
1,abandon,"(-0.009176899, -0.006003596, 0.0025859848, 0.046992246, -0.005449116, -0.0014523044, 0.0105762, 0.005541254, -0.003966581, -0.025292028, 0.030196141, 0.046901587, 0.025263574, 0.041694712, -0.040367913, -0.033001937, -0.037505604, 0.028198007, -0.039235093, 0.04008882, -0.039079677, -0.019148827, -0.018029045, -0.038142502, -0.00887233, 0.009094369, 0.039249647, 0.023751821, 0.0062050335, -0.005035579, 0.004905712, 0.010435224, 0.042397927, 0.043575596, 0.039653625, -0.02871492, 0.0337149, 0.049042094, -0.0010751262, 0.03509232, -0.04225148, -0.0031871311, -0.0011099093, -0.028689994, 0.046248104, 0.0058508404, -0.0023713, -0.0448956, -0.027155627, 0.011816788, 0.009094428, 0.024341669, 0.0026513338, -0.022788478, -0.010499217, -0.018808842, -0.0293563, 0.032591846, 0.011032797, -0.03797499, -0.039754294, -0.0041252375, -0.012100518, 0.029208925, -0.024988784, -0.010773469, -0.039000787, 0.024219636, -0.008644652, -0.04271395, -0.019177234, 0.04135293, -0.026045669, -0.022652913, 0.045213822, 0.047333945, -0.035502575, -0.037012756, 0.04015604, -0.042269982, -0.03627926, 0.037167143, -0.006858241, -0.04822085, 0.028761614, 0.0063934103, 0.04996792, 0.04587272, 0.0030906685, 0.013608638, -0.045028936, 0.0024202839, -0.025852848, -0.001102984, 0.025738407, -0.004635595, -0.016358864, 0.032955114, -0.0033348314, -0.024089742)"
2,Paz,"(-0.056027334, -0.026224157, 0.056746677, -0.026223123, -0.028832663, 0.030999154, -0.0067101205, -0.025066987, 0.02115228, 0.028378557, 0.006804683, -0.017842703, 0.006475105, 0.009841132, 0.0097278, -0.016250597, 0.013013722, -0.025285939, 0.0146153895, 0.038825884, 0.028968515, 0.027155932, -0.009219866, 0.0055971984, 0.03930741, 0.0184808, 0.0019487868, 0.033509035, 0.03216871, -0.03701084, -0.039339554, -0.053995144, 0.02576943, 0.0052914503, 0.00074791413, -0.057137072, -0.014694459, -0.0055577233, -0.015341892, -0.039475925, -0.03869077, 0.010340581, -0.03206358, -0.0014094525, 0.037910186, -0.025046144, -0.004885263, 0.0379659, -0.025203582, 0.018621203, -0.029477278, 0.051727034, -0.036176622, -0.019994518, 0.0488367, -0.00566161, -0.008035969, 0.011418209, -0.007638979, 0.01730496, -0.0027308133, -0.012193628, -0.011760043, -0.0014580528, -0.012507625, 0.008476227, 0.052174985, 0.041673202, 0.00026880798, 0.014113683, -0.024507238, 0.006773221, 0.06032841, -0.022866901, 0.03834929, 0.012048506, -0.00022173797, -0.020561278, -0.055871964, -0.017865913, -0.009235241, 0.0396363, -0.039134208, 0.022157291, 0.049494393, -0.013739536, -0.033215024, -0.01284902, -0.03058577, -0.018666688, 0.03473859, 0.0061350185, -0.012529487, 0.04970274, -0.016505852, -0.0016278249, -0.057692785, 0.04306066, -0.0017699825, 0.030784745)"
3,GENERATOR,"(0.039704647, -0.017743848, -0.020383704, -0.0025495663, 0.012198828, 0.0078019723, 0.032006804, -0.029714394, 0.024165127, -0.015515149, 0.022956442, -0.0434716, 0.032659415, 0.026744772, 0.036403503, -0.004684128, -0.00028270483, -0.026864981, -0.016509224, 0.04371495, 0.0013674721, 0.009304404, 0.026755396, 0.00610454, 0.022775102, 0.007080864, -0.019943118, 0.019829277, -0.0076816306, 0.018938292, 0.011180352, 0.024516288, 0.0026292913, 0.026280154, -0.0015275255, -0.019479359, -0.03212478, -0.0066202395, -0.020041633, 0.014535751, 0.02214482, 0.032568578, -0.045978475, -0.0006091967, -0.024764335, 0.007474877, 0.045408655, 0.04488716, 0.04370557, 0.021616448, 0.020388197, 0.0033407323, -0.025135243, -0.042388227, -0.02908125, -0.036335528, -0.040931392, -0.036886968, -0.031271804, -0.023438752, -0.03155613, 0.0063770525, 0.008236121, -0.008687247, -0.049266484, -0.012051523, -0.03065132, 0.0052484274, -0.048184622, 0.020319138, 0.031062912, -0.01900344, -0.035978317, -0.045066535, 0.0035240166, -0.03337284, 0.026549008, -0.007593967, -0.033549145, -0.040640246, 0.020451698, 0.030361418, 0.029827032, 0.025028292, -0.010520913, -0.0072641373, 0.014540803, -0.024814546, -0.02681054, 0.010756694, 0.04040834, -0.027077198, -0.020386148, 0.0039657727, -0.0010982528, -0.038676966, -0.026597595, 0.048210252, 0.01761606, -0.037258733)"
4,Manila,"(-0.029248858, -0.008057047, 0.015765619, 0.012482155, 0.039511118, 0.0068020113, -0.011525713, -0.024669493, -0.031682957, 0.0069550388, -0.010728657, -0.029395415, -0.020606888, -0.023735238, -0.042316258, 0.035908055, 0.023716893, 0.004247356, -0.039215934, 0.0235054, 0.040254306, 0.01579887, 0.049372125, 0.014790986, 0.013725374, -0.004222892, 0.017974187, -0.049759816, 0.04730698, -0.016914703, 0.01589397, -0.025392735, 0.032060806, -0.02292849, 0.026047934, -0.04979632, 0.015667547, -0.03544215, -0.048740815, -0.0038475394, -0.04922546, 0.03544258, -0.008430254, 0.0015267022, 0.014367018, -0.013696469, 0.0050421357, 0.0052684173, 0.0023683906, 0.032816198, -0.01696571, -0.034181155, -0.024129748, 0.009076107, -0.0040185824, 0.02219132, -0.041190874, 0.03242432, 0.044991877, -0.014346935, 0.0491107, 0.04402567, -0.046076503, 0.03004967, 0.0231915, 0.001683414, 0.015255239, 0.03829897, -0.024943305, 0.0011412278, -0.008881174, -0.00018890947, -0.021944225, -0.044942822, -0.025825465, 0.017662678, -0.017860688, -0.03690193, 0.0055232868, -0.025444066, -0.017615579, -0.046941053, -0.029165423, -0.03419622, -0.041847825, 0.01814494, 0.027142648, -0.036871303, -0.03718139, 0.005649518, 0.034785006, 0.041383315, -0.024367988, -0.047734868, -0.004132867, -0.027591158, 0.03315082, -0.047229316, 0.048209343, -0.032112315)"
5,ISAAC,"(-0.014777731, 0.049541283, 0.047703985, -0.030566717, 0.023629937, -0.04525528, -0.035542153, 0.0076199174, -0.027771985, 0.009536386, 0.0046906583, 0.04535364, -0.026143873, 0.0125750415, 0.04015166, 0.03208453, 0.032892536, 0.018924918, 0.037530866, -0.017439403, 0.046889316, -0.014077187, 0.02840409, -0.049750328, 0.041798916, -0.027208662, -0.007225357, 0.021442544, 0.02633376, -0.037906907, 0.0003559962, -0.029657377, 0.04264966, -0.009431828, -0.028940547, 0.024533343, -0.047669172, -0.046383478, 0.03491408, 0.0093363635, 0.049115572, 0.009149335, -0.014101315, 0.016496431, 0.007413935, -0.01463889, -0.04409964, -0.030515885, -0.04652251, -0.049462806, 0.047029708, 0.00469942, -0.0064716227, 0.027943674, 0.041036967, -0.008784868, -0.005474746, 0.02999134, -0.037567377, 0.026485655, 0.04922888, -0.04114399, 0.030788805, -0.042167865, 0.017404687, -0.021967424, -0.024467254, 0.01952665, -0.0045302995, 0.02798951, -0.042363632, 0.028204415, -0.049378216, -0.029416252, 0.029346708, -0.02494706, -0.023353422, 0.02715135, -0.020949686, -0.019442141, 0.04496907, -0.013022266, 0.0486429, 0.042388503, 0.035737876, -0.04736779, -0.0035509951, -0.010131039, -0.0011359937, 0.006155692, 0.017767224, 0.025722232, 0.02727152, -0.0032452121, -0.034433413, 0.004247822, -0.037418388, -0.015508555, -0.019829322, -0.024666762)"
6,2011,"(0.026296582, -0.026132036, -0.039060045, 0.00080370903, 0.018164996, -0.03143661, -0.013827931, -0.037376203, 0.029671956, 0.028648343, -0.011831988, -0.0067710765, -0.03706659, -0.030029511, -0.030487074, -0.047914423, 0.048327137, 0.013783526, 0.04785433, -0.0009698644, 0.02731761, 0.032310832, -0.049758624, 0.024733607, -0.026057482, 0.02394906, -0.037062824, -0.0061636567, -0.015883885, -0.021618485, 0.047783498, -0.009571005, -0.040642787, -0.0069584623, 0.026217844, -0.032501057, -0.032671273, -0.03682221, -0.031040287, 0.037246693, -0.008664586, -0.03477676, -0.039280366, -0.018933022, -0.019749654, -0.008027088, -0.022244383, 0.046373416, -0.043069508, -0.033752013, -0.040637303, 0.00092757866, -0.021313442, -0.04972149, -0.0016394742, 0.0075846687, 0.040969763, -0.026958156, 0.0085039735, -0.037307702, 0.014990259, 0.017978538, 0.037111413, 0.039605808, 0.018358815, 0.025943208, -0.03004477, 0.04479668, 0.01640464, 0.0420732, -0.029013753, 0.02874476, -0.020998811, -0.03235855, -0.038288902, 0.016760025, 0.038970713, -0.029306604, -0.00012854487, 0.013377335, -0.029579747, -0.039966643, -0.03940759, 0.045205068, -0.012901891, -0.011182867, 0.03482983, 0.0016450286, 0.04925764, 0.035133425, -0.043762174, 0.021603648, 0.030630734, 0.021046493, 0.02464534, 0.0229767, -0.0040120482, -0.01869452, 0.026531126, -0.03735789)"
7,help,"(-0.027426828, -0.041599214, 0.049046647, -0.01958995, 0.037227426, 0.01836339, 0.019996475, -0.018878806, 0.0283628, 0.0064823143, 0.00853752, 0.02098849, 0.023027908, -0.041134536, -0.0038536564, 0.024433222, 0.023339938, 0.03621686, 0.0036611184, 0.04121009, -0.02225982, -0.042795766, -0.03803446, 0.030767385, -0.0035718083, -0.026473213, -0.023960901, 0.034597244, -0.033871055, -0.012889244, 0.016837489, 0.04887173, -0.025770474, -0.030627847, 0.044365812, 0.04872061, 0.017712783, -0.027625013, -0.03069712, -0.022520829, -0.034424245, -0.023524571, 0.040194545, -0.0413285, -0.02259717, 0.048579995, -0.027220083, 0.014970515, 0.049163174, -0.02440448, -0.0037422664, 0.043117072, -0.047784712, -0.019804776, 0.026688505, -0.033154465, -0.0030641183, 0.044929195, -0.02049687, 0.046087477, 0.04226533, -0.010730278, -0.016516767, -0.04553751, 0.012348436, 0.047199775, 0.023992803, 0.039741877, -0.009792555, -0.021094967, -0.00066579506, 0.0074794777, 0.010860704, -0.00399803, 0.0053881034, -0.036065914, 0.02622879, -0.04136603, -0.0022210255, 0.03620063, -0.007760465, 0.010627937, -0.012385786, -0.044268608, 0.0074715726, 0.04275402, -0.014104746, -0.0021864176, -0.025646389, 0.02468231, 0.012121726, -0.019893408, 0.04999094, 0.039201926, 0.012179472, -0.035709403, -0.0017242432, -0.021607136, 0.03918704, -0.01375109)"
8,Rescue,"(0.05035834, -0.020728495, -0.016574528, -0.015855597, -0.0148854, -0.001593488, 0.028822396, 0.040014733, -0.005816699, 0.027058257, 0.022561807, 0.014434419, -0.039791565, 0.018133907, -0.055578355, -0.0175795, 0.008957836, -0.007235235, 0.016062887, 0.058620367, 0.03736586, -0.03911265, -0.035961207, -0.004452158, -0.022206467, 0.024483047, -0.03010521, 0.00686956, -0.02335534, 0.022873787, 0.027439265, 0.046481848, 0.043859918, 0.038343754, 0.05675456, 0.04718579, 0.005767346, 0.024621693, -0.019460184, -0.03506586, 0.04916942, 0.038773462, 0.024304444, 0.046818815, -0.045380108, 0.026395088, 0.013347852, -0.021632368, 0.035410207, -0.021243822, 0.038781643, -0.04815227, -0.03277077, 0.048918243, -0.008875302, -0.03696067, 0.04046577, 0.03962565, -0.0157121, -0.047902804, 0.026757408, 0.00925355, -0.014132333, 0.05160093, -0.014160237, -0.01117746, -0.015478145, -0.009554874, -0.022116343, -0.020367859, 0.013393116, 0.027002446, -0.031183917, -0.010162846, 0.021251712, -0.00015220334, -0.02239941, -0.0060551297, -0.0013518787, 0.050563373, 0.018012907, -0.03335262, 0.020223996, 0.0021940994, 0.024891758, 0.020275604, -0.035206616, 0.035651993, 0.047411844, -0.043118373, -0.05357601, -0.013204374, -0.03911306, -0.026472792, -0.03954548, -0.056439526, -0.016213864, -0.028658576, -0.020222694, -0.053542342)"
9,Hey,"(-0.015180968, 0.019140076, 0.033620622, -0.038146175, 0.010863923, -0.019995248, 0.045882966, 0.020462241, -0.0007298216, -0.0069943555, 0.016759817, -0.02857609, 0.03630537, 0.019066129, 0.00059948117, 0.0026564226, 0.013280895, 0.018924583, 0.03784691, 0.0016818643, -0.027816296, 0.045443203, 0.018900681, -0.040838562, -0.007357858, -0.048820604, 0.02057514, -0.036916506, -0.021262705, -0.0042765364, -0.035841774, 0.031214464, -0.02364825, -0.01737988, 0.045187917, 0.0050709024, -0.029337764, 0.03946295, 0.00018335506, 0.023969922, -0.034186758, 0.022498738, -0.0068450794, -0.025376845, 0.03567927, 0.04481295, -0.024654424, -0.00796305, -0.0135957375, 8.3040446e-05, 0.02179462, 0.044324685, -0.027064038, 0.04629529, -0.038872503, 0.032844547, -0.03586936, 0.007876717, -0.011025749, 0.03704525, 0.046305213, 0.024193946, -0.031510018, 0.044147942, -0.003936719, 0.018014457, 0.037061844, 0.030813228, -0.014971077, -0.01962483, -0.006330572, 0.015328612, -0.00909362, -0.0041999333, -0.004034519, 0.033606414, 0.005962454, -0.04748063, 0.016210224, -0.032167688, 0.037455704, 0.0022305474, 0.03840894, 0.03896587, 0.025288213, -0.01670438, -0.039604317, -0.04365901, 0.01850735, 0.012727622, -0.026778614, 0.035397124, 0.048111442, 0.03829426, -0.028808093, 0.049949374, -0.027210856, -0.015008736, -0.044737697, 0.039975274)"
