,Words,Vectors
0,Scavengers,"(0.030173065, -0.038853183, 0.056182917, 0.06350156, -0.025834365, -0.034938343, 0.06674949, -0.04550083, 0.04021322, 0.049966183, -0.04363153, -0.036211334, -0.037686814, -0.056728806, 0.060528006, 0.01523261, -0.015681753, 0.04015981, 0.035712097, -0.032261804, 0.0046596997, -0.04247912, -0.054133367, 0.034466263, -0.022730084, 0.038181543, -0.04843811, -0.021848205, -0.0354619, 0.06749273, -0.026043164, -0.061441116, 0.030815803, 0.028795663, -0.016579906, -0.02764492, 0.011340925, 0.023591379, 0.041650448, -0.025636686, -0.03705099, 0.0037184171, -0.02387437, -0.06440556, -0.00041140473, -0.062648155, -0.01927069, -0.0010446258, -0.062247083, 0.010016972, -0.06154757, -0.05466454, -0.048560087, 0.062839694, -0.026975874, -0.033337735, 0.05097157, 0.07658673, 0.020438612, -0.0012140976, -0.0053094174, 0.05039385, 0.040246326, -0.01141811, 0.023907155, 0.06618199, 0.019939754, 0.013920239, 0.005502817, 0.017413218, 0.00042564585, -0.0513053, -0.05826666, -0.011113525, 0.0219076, -0.026193324, -0.015355676, 0.055624645, 0.06643387, 0.04162733, -0.073174514, -0.016971633, 0.047947608, -0.060436625, 0.02463908, -0.0042588385, -0.03927364, -0.036354415, -0.040964525, -0.031889, 0.052495174, -0.003941589, 0.026614018, 0.05473711, -0.009971462, -0.043962903, 0.0005984264, -0.0019103154, -0.05165743, -0.022860814)"
1,Nov,"(-0.01678603, 0.004687657, -0.05784084, -0.012006354, 0.022244232, 0.015257749, -0.0030348287, -0.011447423, -0.0019397545, -0.017589744, -0.033175785, -0.02095639, -0.023491263, 0.016522372, -0.053446334, 0.01563396, -0.024077484, -0.023793926, -0.054202143, 8.2266306e-05, -0.00697443, 0.0018957895, -0.019744135, 0.04386442, 0.049168725, 0.0409714, 0.030695166, -0.034203496, -0.01394768, 0.026375132, -0.038184404, -0.021600254, -0.010628505, 0.003935929, 0.014545669, -0.04205194, 0.016040752, 0.002548523, -0.032901593, 0.004028263, -0.02768193, 0.04384922, -0.02475637, -0.01865707, 0.018787218, -0.03220652, 0.061052382, 0.03600541, 0.00022769216, -0.035603907, -0.027101822, -0.010073635, 0.02070595, -0.054255776, -0.033433396, 0.03144121, 0.031270854, 0.053271607, -0.05302879, -0.016174696, 0.02359095, -0.013809307, 0.038895927, 0.0039827297, -0.021168984, -0.025816431, -0.032704458, 0.0106975045, -0.040534496, -0.05695603, 0.03468231, 0.016115129, -0.034929, 0.015854292, -0.05682477, -0.03445816, -0.019220773, -0.015158199, 0.028883543, 0.009607774, -0.045827396, -0.006400348, -0.038834147, -0.03404048, -0.04336574, 0.04410754, -0.06073869, -0.031792093, -0.013158239, 0.0017635754, 0.022923166, -0.021389099, -0.034234855, -0.05190576, 0.0076465993, -0.0381277, -0.0023665149, 0.005293317, 0.011096077, 0.050833263)"
2,tragedy,"(-0.016036013, 0.040174067, 0.020664059, 0.0139584225, 0.045435052, 0.015940085, -0.05246342, 0.06775957, -0.0027576124, 0.038815252, 0.003693664, -0.00044200485, 0.047998864, 0.023101246, -0.010318759, 0.045826618, -0.058537897, -0.029448466, 0.027974846, 0.00042888967, 0.00070155057, -0.025657468, -0.035802323, 0.049908195, 0.04189231, -0.0022244859, -0.015851183, -0.010717255, 0.01351019, 0.023654142, 0.05116048, -0.01156705, -0.061243314, -0.011495643, 0.019049652, 0.015874296, 0.030217005, -0.036981113, 0.0041332263, -0.021511914, 0.019154407, -0.009921278, -0.04769807, -0.0054691965, -0.06261089, -0.043819215, -0.0022587904, 0.05490589, 0.018126242, -0.0132428715, 0.0063769463, 0.0028416885, 0.042710625, -0.05252514, 0.010273769, -0.0101129925, -0.0018048533, 0.04871898, 0.014681913, -0.04186571, 0.02657989, -0.05333095, -0.024214214, -0.017873624, -0.055373766, 0.020124413, -0.033427693, -0.06642106, -0.006592597, -0.05796871, -0.010854021, 0.003643511, 0.038431183, -0.049756035, -0.06899967, 0.025691701, 0.038206093, 0.03062795, 0.021382349, -0.02879768, -0.0043339296, -0.035500098, -0.01827486, -0.03130086, 0.029792367, 0.059767146, -0.029787255, 0.008556567, 0.002947875, -0.001613467, 0.05874284, 0.005777957, -0.008362671, 0.0074356217, 0.041756634, 0.021151079, -0.029235534, -0.026624043, -0.04761063, 0.04574222)"
3,Rescue,"(-0.047664057, 0.002332829, 0.021863293, -0.012559105, 0.02313969, -0.038318444, -0.034283362, 0.029400174, 0.014463332, -0.033339668, -0.015177034, 0.011365771, 0.048535217, 0.0021263734, 0.02897947, 0.016368572, -0.0337099, 0.02733108, -0.035895992, -0.008224227, -0.02144661, 0.03152858, 0.029834341, 0.04296905, 0.027749252, -0.044716455, -0.030078722, 0.005600117, 0.039289143, -0.034768354, 0.04422604, -0.022902632, 0.04964557, 0.04252727, -0.021344101, -0.017413627, 0.0318545, -0.0045769215, 0.0048519745, -0.04639199, 0.035280947, 0.020716522, -0.031475533, -0.028510725, 0.009951998, -0.02759757, -0.031897426, 0.020151567, 0.0200467, 0.015238497, -0.007712234, -0.032174326, 0.040873755, -0.004607536, -0.021562947, -0.033320904, -0.032309998, 0.04357436, 0.00024701282, 0.039399836, -0.033894826, -0.043924417, -0.04655857, 0.013805483, 0.0104105845, -0.024977077, 0.03026617, -0.046768475, -0.029808939, -0.028720034, -0.03865055, 0.029155184, 0.020516027, 0.009588599, -0.014795743, -0.02437644, 0.0018267147, -0.022781396, -0.028795624, -0.011559617, 0.03440051, 0.043947544, -0.024761427, 0.004838109, -0.03191358, -0.025339795, 0.011211943, 0.0030975454, 0.004930068, 0.00013028458, -0.036224436, -0.023951842, 0.031166982, -0.009002902, -0.031723537, -0.04714259, -0.045128107, -0.00942836, -0.0022512302, -0.031437278)"
4,help,"(-0.014510799, -0.026933892, 0.0076436126, 0.024260128, -0.044079605, -0.039133936, -0.021425875, 0.00026522318, -0.016490342, 0.02034609, -0.00039625698, -0.02881209, 0.027324477, -0.06210532, -0.01689967, -0.021270975, -0.039949685, -0.0063800015, -0.029741656, 0.005156451, 0.033252597, -0.004152896, -0.0021195963, 0.022643436, 0.032587763, -0.032086663, -0.005926052, 0.02884631, -0.019734876, 0.04767102, -0.003847976, -0.020353965, 0.006599963, 0.010682362, -0.0008072523, -0.01827175, 0.039800696, 0.02740979, 0.030714525, 0.013739983, -0.01081875, 0.014421175, -0.025407327, 0.028865144, 0.038478512, -0.040365092, 0.029274125, -7.878935e-06, -0.05577805, -0.0010331029, 0.027810438, 0.029124152, 0.018734656, -0.017866196, -0.015109113, 0.022216178, 0.017609544, 0.011996613, 0.0033413286, 0.0033634442, -0.037063643, 0.040848874, 0.02906669, -0.012563527, 0.034263283, 0.019921161, 0.037605733, -0.025046306, -0.015144178, -0.02650744, 0.011944907, -0.0221224, -0.038387034, 0.025430445, 0.016768795, 0.0080710435, -0.057544325, -0.034334727, 0.04955147, 0.049128897, -0.017681863, 0.052096814, -0.009725395, -0.05968165, 0.022576002, 0.010004526, -0.009148627, 0.051138494, 0.028751642, 0.035203844, -0.04950598, 0.016636256, 0.008852746, 0.038354363, -0.024963053, 0.0071445447, 0.03679835, 0.03724345, 0.04673696, -0.05273598)"
5,python33r,"(-0.028446032, 0.041091386, 0.042663302, -0.030724203, -0.003391672, -0.02045399, 0.028510977, 0.0245567, -0.015629135, 0.04436669, 0.04561993, 0.042125594, -0.046453785, 0.0182789, 0.009594105, -0.04463756, -0.008074582, -0.0341288, 0.0009238124, -0.022909546, 0.0099078305, 0.0039116144, 0.006001495, 0.012674008, 0.041904557, 0.04288019, -0.019876957, 0.008217178, -0.030294169, -0.018252254, -0.010596372, 0.014602449, -0.03526157, 0.038959254, -0.04715494, -0.03587389, -0.0013481267, -0.03143382, 0.04823791, -0.0065079704, 0.009927668, 0.030319821, 0.04705837, 0.017301705, -0.01815889, 0.0034629703, 0.02347995, -0.038074434, -0.012569286, -0.026247097, 0.018503431, 0.042963926, -0.0123543255, 0.017495546, -0.047559153, -0.0012115464, -0.045184482, -0.0045342073, -0.038059093, -0.005202137, 0.044547033, 0.039128367, -0.039937366, 0.021882068, -0.03410174, 0.041345228, -0.011837959, -0.025840223, -0.047636725, 0.04292396, 0.011473119, -0.03805592, -0.009900499, 0.008172594, -0.027039493, -0.013311971, -0.00014996529, 0.027604353, 0.019344654, -0.01683725, -0.04351672, 0.00075351074, -0.039478075, 0.043421056, 0.007339217, 0.04761294, 0.030790512, 0.04694141, 0.04195038, 0.025251005, 0.035202276, 0.047165845, 0.048996154, -0.02606517, -0.04725672, -0.022295488, -0.040609024, 0.04591583, -0.019480968, 0.02450693)"
6,Ca,"(0.027472053, 0.010929, -0.01628957, -0.0321209, 0.044084694, 0.0074389093, -0.009110928, 0.04524983, 0.041168418, -0.034834076, 0.009355985, 0.01826023, 0.030724991, 0.0014522448, 0.013178278, 0.024010528, 0.03734633, -0.033203863, -0.034560967, 0.015296947, -0.00038877875, 0.04245026, -0.03397139, -0.0453892, -0.042013727, 0.040128004, 0.045111787, 0.0206202, -0.0406003, 0.027880203, -0.040141262, -0.02006854, 0.040879253, -0.0023861304, -0.02545141, -0.03946198, -0.046968497, 0.024218049, -0.015007436, 0.011144996, -0.041531134, 0.047988106, -0.012806188, -0.049603652, 0.00023231655, 0.0037952885, -0.010609079, -0.030554999, 0.040554, -0.035004057, -0.034512818, 0.031071868, 0.040756855, -0.010373712, -0.033921946, 0.005777456, -0.042082153, -0.027251078, 0.04725038, -0.002992738, -0.049662102, 0.030199084, 0.030435655, 0.04682337, -0.03723252, 0.031259727, -0.029769337, -0.02047546, 0.04893664, 0.040938143, -0.020878816, -0.03425362, -0.029789282, 0.031145323, 0.027890388, 0.017869245, 0.049852397, 0.041369807, -0.04014524, -0.00024188682, 0.020572338, 0.048878554, 0.0018053278, 0.027559254, 0.038268115, 0.023848835, 0.006395865, -0.005288504, -0.049040284, 0.019750807, -0.0070561282, 0.04573578, -0.024539186, -0.027513672, -0.039779555, 0.046248708, 0.00013655424, 0.04404184, 0.020250145, 0.04511111)"
7,northern,"(-0.05286599, -0.013742118, -0.05609, -0.035272438, 0.05878739, 0.028383091, -0.048022516, 0.00245156, -0.06272615, 0.035943795, 0.021793889, 0.028891739, 0.06506447, 0.005719066, 0.006844215, -0.009020978, -0.00848924, -0.043346748, -0.01971834, 0.03292979, 0.058026, -0.034753244, 0.008165531, 0.045439076, 0.05571411, 0.010397456, -0.020583417, 0.042267255, -0.063149974, 0.013820984, 0.057768848, 0.030018048, -0.042410575, -0.01735153, -0.031077202, -0.05083769, -0.06441765, 0.008139944, 0.009061489, -0.036418848, -0.007925058, 0.041517306, -0.054687835, 0.0046068477, -0.015476337, 0.014107209, 0.027277885, 0.05685814, -0.016344212, -0.006440747, 0.067659184, -0.003016808, 0.046039943, 0.005091932, 0.05883419, -0.003385017, -0.00043264896, 0.017182093, -0.03118585, -0.041973546, 0.06342792, -0.04699444, 0.022950757, 0.005690087, -0.045113113, -0.01900708, -0.005240485, -0.038848262, -0.006394661, 0.024349125, 0.01840575, -0.0015157233, 0.057274032, -0.015696729, -0.011605521, 0.017902622, 0.022814035, 0.05317821, -0.031480256, 0.00032192498, -0.019550871, 0.006991663, 0.030993547, 0.0076802913, -0.02433623, 0.049045682, 0.0070095104, -0.047357623, -0.01676434, 0.0336556, -0.012844901, -0.015123001, 0.023243105, 0.0047253417, 0.06891431, -0.058814283, -0.061678614, -0.066351995, -0.06568978, 0.0025514278)"
8,-,"(-0.049567066, 0.009393479, 0.011653076, -0.03791774, 0.024671802, -0.012076435, 0.037745614, -0.0072111594, 0.034452297, 0.010849569, -0.032765873, 0.025371047, -0.0057087033, -0.035162907, -0.0096722385, 0.031791244, -0.038037185, -0.026369194, 0.01865826, -0.051387325, 0.012657662, 0.03760385, -0.029788723, -0.031951558, 0.03417404, -0.007922637, -0.009379064, 0.010119364, 0.030761488, -0.0149273155, 0.043939617, 0.020008909, -0.025451178, -0.047513086, 0.021671224, -0.028528139, -0.037072327, 0.037425507, -0.04017489, 0.010481713, 0.027954202, 0.024817271, -0.033893894, 0.019878015, -0.01319482, -0.011576497, 0.060480993, 0.05556984, -0.025872339, -0.00016679321, -0.012475101, 0.038783714, -0.014396783, -0.057071924, -0.022008162, 0.054966234, -0.061904132, -0.029137434, 0.039235666, -0.01038438, 0.016800772, -0.036902826, 0.016531818, 0.019755183, -0.026391711, 0.04358733, -0.0105133895, -0.008533929, 0.026704848, 0.013772854, -0.006067832, 0.033667803, 0.040007465, 0.011933769, 0.028504735, -0.013346404, 0.047488727, -0.013734681, 0.012663711, -0.04427009, -0.033885513, 0.0016952471, -0.02718435, -0.040341876, 0.027043754, 0.025859967, -0.021031385, -0.0015335014, 0.010921745, 0.007186773, 0.054604117, -0.014765648, -0.0053976043, -0.02624638, -0.009421247, 0.03019693, 0.03012191, -0.028299447, -0.03938903, -0.009591403)"
9,Thamer,"(-0.0024776459, -0.048705854, -0.008283339, 0.042542886, -0.040611006, -0.00084205717, -0.013505746, 0.003095962, 0.011881102, 0.009548306, 0.01735225, -0.023194825, -0.043793716, 0.015021, 0.005118251, -0.04863305, -0.015764605, -0.043539822, 0.022640754, 0.009855151, -0.029503584, -0.043533385, 0.0029779673, -0.039506495, 0.01821215, 0.0334217, 0.03487077, -0.037153386, -0.0033815615, -0.017793655, -0.03818643, 0.005592704, 0.0050119758, 0.004771162, 0.02139106, -0.007996418, 0.029065344, 0.02276634, -0.035503723, 0.011744499, -0.022526085, 0.03491265, 0.009945225, 0.03304294, 0.009822868, 0.01494104, -0.036688767, 0.027169917, 0.034426276, -0.02039261, -0.0065306313, 0.004574038, -0.038220216, 0.041132998, -0.011862528, -0.013276231, 0.03472283, 0.03639562, 0.043012533, -0.041024566, -0.043082047, 0.0032235868, -0.02786014, -0.015697528, -0.022549856, 0.0067140087, -0.012480937, -0.020842267, -0.019355072, 0.025354993, 0.011091102, -0.038327087, -0.03810992, -0.029694533, 0.030005705, 0.013744418, 0.018151078, -0.026063217, -0.025016284, -0.035643864, -0.016191877, -0.009313382, -0.009710588, 0.037215743, -0.045919456, 0.00036606938, -0.046614554, 0.017547335, 0.0006163828, -0.04738263, -0.0049857385, -0.02638284, -0.008022666, 0.02097318, -0.0021512732, -0.019272292, -0.03242897, 0.0044307597, -0.045708716, 0.023440812)"
