,Words,Vectors
0,Big,"(0.052461017, 0.05383093, -0.014676931, -0.057340708, 0.027471414, 0.013370668, -0.008878157, 0.0402111, 0.025521884, -0.055289306, 0.01256823, -0.021247456, -0.030958103, -0.02614976, -0.04619602, 0.034208193, -0.030695148, 0.034966074, 0.0046016984, 0.0062108156, 0.004733862, 0.026726466, 0.0023795872, 0.010468753, -0.009945281, 0.028590405, 0.031747993, 0.007127099, -0.034249015, -0.0136421425, -0.04883408, -0.016384168, 0.036635943, 0.009967025, 0.044288255, 0.028753111, 0.0073068715, -0.008322159, -0.034807924, 0.014582016, -0.03381761, -0.02512074, -0.031798065, -0.054255694, 7.02337e-05, -0.011603606, -0.0054580956, -0.02033258, -0.048965447, -0.019254077, -0.02339848, 0.02068465, -0.031061327, -0.035346873, 0.041150764, 0.032912336, -0.021178687, 0.053952534, 0.010924071, 0.035715055, -0.013478329, 0.03291846, 0.010571842, 0.02035989, 0.019659843, 0.02135918, -0.03691133, -0.020745477, 0.05468104, 0.017456768, 0.026536519, 0.03230186, 0.038909107, -0.034804996, 0.004001305, 0.0538343, 0.053982355, -0.011205168, -0.0017015754, -0.034413546, 0.00022285586, -0.042109367, -0.031699743, -0.01438786, -0.048447177, 0.034344614, 0.03469322, 0.04197723, -0.014989423, -0.0323531, -0.0024965366, -0.020659002, -0.038184807, 0.022344863, -0.04114594, 0.043635376, 0.021485468, -0.01973945, -0.017002625, 0.012580676)"
1,Nov,"(-0.008658528, -0.027698398, -0.023946775, -0.0077420957, -0.03932755, -0.0103578195, 0.048187915, -0.014758803, 0.025260415, 0.015189577, -0.035230838, 0.04115131, -0.009617925, -0.0029086843, 0.011491202, 0.027982268, -0.012622736, 0.021869127, 0.0010809079, 0.004895877, -0.008281209, -0.0055922978, 0.0013887882, 0.038278352, 0.018299785, -0.022872115, 0.04844216, 0.035832826, -0.02813567, 0.038068604, 0.015203271, -0.04960853, -0.0028629676, 0.028561186, -0.04860555, 0.032337155, -0.02867446, -0.012543656, -0.0046554916, 0.015853178, 0.046829764, 0.0060125366, -0.024501873, 0.026523363, 0.041730095, -0.028393686, -0.013682257, 0.025101367, 0.03276683, -0.027271152, -0.029951012, 0.0226678, 0.03982233, 0.047729347, 0.033014167, -0.0037064552, -0.030990768, -0.012998126, 0.01706462, 0.016611565, 0.045540813, -0.025348974, -0.04064559, 0.04819942, -0.036186874, -0.0034443513, 0.036481608, -0.035809778, 0.026617933, -0.012144398, 0.021277022, 0.02738719, -0.005383827, -0.03043784, 0.045921717, -0.011542119, 0.025978278, 0.0047781244, -0.0031852722, 0.02400371, -0.00031499937, -0.015888225, -0.033837914, 0.009650528, -0.0039304607, -0.04751985, 0.016247395, -0.0010709763, -0.04904412, -0.011504531, -0.039706744, 0.017134082, 0.023550246, 0.034869816, 0.023275267, -0.030151606, -0.007216286, -0.0008949265, -0.026333893, -0.049154807)"
2,tragedy,"(-0.012763447, 0.04015402, 0.016875522, -0.018974056, -0.041106973, 0.04787281, -0.010605998, -0.0044475, -0.039384257, -0.0033066669, 0.028735124, 0.004791714, -0.049748696, -0.0008276724, -0.027780997, 0.043092873, -0.03416641, 0.032864764, -0.04546554, -0.044106614, -0.018815247, 0.028493311, 0.036671907, -0.048881114, 0.046694767, -0.014802348, 0.016940717, 0.024960373, 0.028146349, -0.0012238211, -0.010932995, 0.04618886, 0.0031615298, 0.0052304445, 0.023498224, 0.028894683, 0.044690806, -0.02767964, -0.002655956, 0.0077172844, 0.035604417, -0.022747423, 0.003766683, -0.046207093, -0.03931491, -0.03756466, 0.03546289, -0.028713252, 0.023501117, -0.041591458, 0.021437133, 0.035944827, -0.03914849, 0.0046980116, -0.025339192, 0.007710292, -0.023058614, -0.011696703, -0.024101015, -0.03816181, 0.031642947, 0.020862095, -0.028194707, 0.029992642, -0.027657654, -0.0035820575, 0.005499317, 0.011914212, -0.04558449, 0.058689553, 0.0414115, 0.028276704, 0.00031592732, 0.004985727, 0.015264676, -0.036564246, -0.04013525, -0.018568013, -0.04859107, -0.045486942, -0.008860807, -0.016986186, 0.03446452, 0.023271343, 0.047935124, 0.041543588, -0.0063415165, -0.049251776, -0.037549227, 0.03199286, -0.039383687, -0.04277106, -0.0072317375, 0.01878514, 0.037379526, 0.00025673312, 0.009706798, -0.006760997, 0.0063509354, 0.006955618)"
3,Very,"(-0.024999008, -0.021303913, 0.031938605, 0.036102362, 0.033067144, 0.004281485, -0.0003527932, 0.053628687, 0.029529631, 0.008471101, -0.021600403, -0.017154973, 0.043341413, -0.024662772, 0.031607408, -0.027137937, -0.015037135, -0.005900446, 0.048719555, -0.019214187, 0.007586882, 0.05337151, 0.010560888, 0.039497886, 0.019889005, -0.03766187, -0.036813002, 0.022488378, 0.01984088, 0.0609464, -0.057864286, 0.03457552, -0.029548774, 0.031963393, -0.0021317052, 0.04579029, 0.015154346, 0.0074486146, -0.040171422, -0.00848085, -0.0058104447, -0.05294794, 0.019685524, -0.023268571, 0.05092666, -0.009392801, 0.015139909, 0.0025279059, -0.04227962, -0.011055286, -0.013370878, 0.045240786, -0.045302913, -0.014618286, 0.025517197, 0.0076237493, 0.059592456, 0.031050727, 0.021094555, 0.048347175, -0.020047087, -0.028751183, 0.03922709, -0.0044561913, -0.0069248807, 0.010567293, 0.018626498, 0.014842831, 0.029738327, -0.020614542, 0.042216208, -0.022700125, -0.04341745, 0.002723841, 0.00797533, 0.03837011, 0.034395907, -0.004733776, -0.021717405, 0.026775686, 0.03247306, -0.0017688548, -0.01536477, 0.034758754, 0.0027615894, 0.017451225, 0.041029494, -0.0043301163, 0.0052354173, -0.03291569, 0.035724983, 0.03815195, -0.04766734, 0.035696924, -0.01991777, -0.020601187, -0.012531779, -0.02824285, -0.06102609, -0.030279867)"
4,Rescue,"(0.023375522, 0.02146541, -0.024295604, -0.02995546, 0.003209781, 0.029309127, -0.006545283, -0.04607756, 0.03994726, -0.0022062063, -0.0037281401, 0.016010296, -0.0017044432, -0.023982191, -0.018278323, 0.02326819, -0.014759492, -0.028623343, -0.006949365, -0.02313428, 0.026902858, -0.041435968, 0.0025586262, 0.04445721, 0.0013383739, -0.044124484, 0.0024114624, 0.047282245, 0.033835594, 0.040113453, -0.0015484206, -0.01254233, -0.035339795, -0.03325691, -0.039824866, -0.028736353, -0.024851954, 0.023952115, 0.011128008, -0.03990226, 0.0019252896, 0.039064016, -0.026404595, 0.013797071, 0.0008156076, -0.017683066, -0.021634042, -0.014705144, 0.00024272129, -0.048472036, 0.031438354, 0.023271505, 0.01103536, 0.019572321, 0.020296667, 0.026962366, 0.018114377, 0.03347576, 0.027058724, -0.025641669, -0.046605706, 0.04814375, -0.03215512, -0.038643442, -0.0060397014, 0.030129384, -0.00972091, -0.026302492, -0.021128202, -0.02562716, -0.016785182, 0.041741338, -0.036747824, -0.041516818, -0.027231634, -0.03232974, -0.020153238, 0.0031473525, -0.010841824, -0.031934906, -0.0145788565, -0.0054274425, -0.03983376, 0.03386091, 0.007977318, 0.024420109, -0.012060426, -0.016272582, -0.042511728, 0.008676518, 0.042241227, -0.03388052, 0.045268465, 0.023642723, -0.045178797, 0.021648895, -0.013299871, -0.032601193, -0.047754325, -0.02716055)"
5,China,"(-0.040233828, 0.031003289, -0.033395436, -0.037315596, -0.022844538, -0.030485839, -0.012167732, 0.011185392, 0.023722693, -0.023032686, -0.031916853, -0.02284125, 0.021989908, 0.010460661, 0.0012876735, -0.012528009, -0.0051969537, 0.021680333, -0.029186301, -0.012437647, -0.015373111, -0.04873384, -0.058577146, -0.0139549775, 0.013104286, 0.019352524, 0.021562142, 0.01756111, -0.014534904, 0.037789397, -0.030766519, 0.063078135, -0.024865437, 0.02696741, -0.011215127, 0.0024611317, 0.0006403193, -0.029445065, -0.0020998616, 0.038114455, -0.04652054, 0.015693905, -0.042932816, 0.04241386, -0.014576194, -0.03958395, -0.011844014, -0.026698723, -0.021615982, -0.008244134, 0.00074405374, -0.014041639, 0.04043789, 0.058266044, -0.028470889, 0.015474077, -0.005288083, -0.057647977, -0.02044524, 0.03314484, -0.0053310003, 0.039128173, 0.012186934, -0.037686873, 0.0045215082, 0.033531286, -0.03067456, -0.022159716, -0.030133598, 0.032435022, -0.008062076, -0.0012044171, 0.014036149, -0.0020317014, -0.0023813248, -0.011827319, -0.037673663, -0.048802488, -0.03847257, 0.04811402, -0.024176355, 0.036414985, 0.022123655, 0.00042111948, 0.055872004, -0.04658401, 0.026124507, 0.018743282, 0.0052220915, 0.023232024, 0.0053156107, -0.0009269433, -0.013590775, -0.024875743, 0.04108201, 0.05266909, -0.008343053, -0.03712937, -0.035124693, 0.027222047)"
6,Ca,"(-0.040798284, 0.011245836, 0.030206192, -0.015203975, 0.004470121, 0.008931436, -0.034319595, -0.001860857, 0.030150983, -0.012589075, -0.03322345, -0.038287975, 0.026958216, -0.036441542, -0.039407633, -0.03444134, -0.025269127, -0.000831604, -0.032527436, 0.0120697245, -0.040159535, 0.037190843, 0.04344826, -0.009589922, 0.01808298, -0.014637042, -0.0097521655, 0.023637582, 0.03969718, 0.029825773, 0.045043837, 0.0010815971, 0.006178178, -7.4110925e-05, -0.0014118329, -0.027010655, 0.0032948256, 0.008932412, -0.018293917, -0.03404974, -0.026767422, 0.011993337, 0.027538959, -0.033910416, -0.007062543, -0.0010193102, -0.033929694, -0.03337252, -0.012812592, -0.04900055, -0.020113278, 0.03911865, -0.023245776, -0.013750054, 0.0064271465, 0.04771254, 0.020122495, 0.033105087, -0.009130098, -0.04493705, 0.027084205, -0.04286449, 0.0192479, -0.01932149, -0.008346427, -0.014468707, 0.009477675, 0.020578232, -0.03685075, -0.015706003, 0.018345479, 0.006460823, -0.014759421, 0.02771372, -0.04680678, -0.02998097, 0.026019838, -0.029054165, -0.003957011, 0.03455765, -0.028759886, -0.03138282, 0.030025747, 0.030833233, 0.0037491806, 0.0050938018, 0.038677644, 0.033726607, 0.015470769, -0.01799474, -0.0049761645, -0.014921833, 0.035671484, -0.011327922, -0.016424727, -0.0152327195, -0.0070664175, -0.006953895, 0.0110813975, 0.007357072)"
7,Raheelk,"(0.029400218, 0.007347405, -0.047713995, 0.0031826608, -0.0151361115, -0.018582571, 0.027955446, 0.0039150827, 0.033334445, 0.036750767, 0.01927391, -0.020001745, -0.028674925, -0.041868366, 0.02919196, -0.010360122, -0.013954986, 0.04227524, -0.049857296, -0.03308489, -0.0053097233, 0.04935402, -0.04150498, -0.03283546, -0.017649282, 0.043419782, 0.035485674, 0.032700505, -0.025979673, 0.009508561, 0.018917393, -0.04547211, 0.003116548, 0.039501276, -0.041984342, -0.0036422499, -0.010612477, -0.00066881254, 0.021164823, -0.0020094737, 0.04357728, -0.0043132193, 0.004709147, 0.021433841, -0.016652513, 0.04501008, -0.039240826, 0.008979596, 0.009937443, 0.016823675, -0.013433814, -0.00863608, -0.0082340725, -0.019385362, 0.041102055, -0.0039760955, 0.015600894, -0.0018770806, 0.042103935, 0.033611726, 0.024905685, 0.00013309717, 0.00897764, -0.034803618, -0.012432277, 0.03433207, 0.018679861, -0.028282762, -0.03349866, -0.0011370778, -0.021935178, 0.015493635, -0.0008574128, 0.016287718, 0.032785702, 0.025633004, -0.018955529, -0.027112389, 0.022017982, 0.045153607, -0.0126578435, 0.041087534, 0.022453558, -0.035531163, 0.01907548, -0.030776322, -0.029087055, -0.040018775, 0.036357883, -0.00586462, -0.029895937, -0.027287377, -0.046060205, -0.021095872, -0.02129749, -0.017897286, -0.011826836, 0.024031725, 0.03394414, 0.005331587)"
8,-,"(-0.03452143, -0.025938993, 0.0029807237, 0.046286568, 0.018085437, 0.016739877, -0.02916613, -0.03326114, 0.021487333, 0.045623448, 0.04189298, -0.019526634, 0.029195368, -0.018352754, 0.020047776, -0.029485421, -0.02367165, 0.0073739924, 0.03815561, -0.033676986, 0.04235797, -0.05575603, -0.014871612, 0.036258295, 0.038482796, -0.009893292, -0.008010499, 0.028353214, 0.018358674, 0.005021258, 0.03804786, 0.014558527, 0.009065363, -0.03616566, -0.018266996, -0.0038512086, -0.024627311, 0.040593605, 0.020778764, -0.056306206, -0.03403861, 0.03418097, 0.02506568, 0.050774425, 0.041311447, -0.03320761, 0.02073708, -0.02062845, 0.017146578, 0.004063852, -0.038728453, -0.0024538136, -0.04182251, 0.044877294, -0.008781987, -0.037042983, 0.0007491482, 0.018572723, -0.032300547, 0.013085312, 0.013984113, 0.039236616, -0.02473705, 0.019214062, -0.009456889, 0.03668133, -0.039375916, -0.033423103, -0.018523507, -0.020086626, -0.05264897, 0.038649287, -0.031354617, 0.010318229, -0.019877132, 0.021792322, -0.012034226, -0.044294298, -0.041842554, 0.032685768, 0.057302024, -0.018940505, -0.03478644, -0.04244237, -0.028440204, 0.03387649, -0.031596404, 0.03635133, 0.04007303, 0.049987055, -0.014569552, -0.04671436, 0.0023115543, -0.0396205, 0.039603595, 0.03575617, -0.018294778, -0.017918391, 0.029737836, -0.052086115)"
9,Thamer,"(-0.035026085, 0.0005440116, -0.004449796, -0.016476355, 0.04161283, -0.0018527396, 0.0003833063, -0.012463521, 0.017636728, 0.0026285648, 0.011777282, 0.006662607, -0.031030132, 0.025952365, 0.044846956, 0.02483571, 0.028909672, 0.03146178, -0.038170766, 0.011866294, 0.048726488, -0.045312084, -0.00096684694, -0.032298017, 0.011619806, -0.007380344, -0.027256692, 0.011758052, -0.047071327, 0.008303117, -0.014308192, 0.013949502, -0.023684049, 0.028960083, -0.04743414, -0.03302293, 0.04635347, 0.040295247, -0.04415747, -0.036281038, -0.014196098, 0.002082456, -0.036969364, -0.011107683, -0.02119763, 0.006146632, 0.047199454, -0.03938056, -0.00036296993, -0.016346406, -0.043100823, -0.033103455, -0.009140659, 0.04521544, 0.04853083, 0.04270095, 0.039888944, -0.009188853, -0.04755428, -0.008463539, 0.008702029, -0.027883708, -0.015882444, 0.028361108, -0.015237115, -0.010146368, -0.031557634, 0.008867346, 0.011862565, 0.04300389, -0.0057542324, 0.023185994, -0.047570407, 0.04753596, 0.018718433, 0.039668586, 0.049076628, -0.047846496, 0.04352123, -0.026336038, 0.013596822, 0.047823433, -0.04353496, -0.012692761, 0.0041897185, 0.027116392, 0.040875744, -0.0031053647, 0.043019656, -0.0072242506, 0.0199865, 0.042423274, 0.026277807, 0.04007479, -0.029368687, 0.03888612, -0.008862127, 0.017509434, -0.03962476, 0.0238004)"
