,Words,Vectors
0,Nov,"(0.05240185, 0.038512718, 0.014836373, -0.05296779, 0.026922047, -0.018035429, -0.0105167525, 0.024873646, 0.049142584, 0.006892482, 0.009991832, 0.03449975, 0.0013445201, -0.016507892, -0.04047187, -0.014818212, 0.039939206, -0.00082850264, 0.0025700962, 0.04935865, 0.007472247, 0.012639386, -0.0019129198, -0.004844288, 0.052285414, 0.05735912, -0.012672071, -0.0016035482, -0.011953345, 0.054415368, 0.07642482, -0.026907837, -0.011380405, 0.01940684, 0.023826059, 0.0085625565, -0.043158874, -0.005433329, -0.041711345, -0.00064811314, 0.038249437, -0.019074285, 0.0014335747, 0.044908047, 0.034359213, 0.01760364, 0.038047694, -0.055735953, 0.02631427, -0.04613267, 0.06300847, 0.016206067, 0.042732194, -0.03570728, 0.044276346, 0.007033507, -0.025814153, 0.006954989, 0.01479676, 0.035556387, 0.030259455, -0.033010133, -0.00053795276, 0.06408283, -0.026843106, 0.008728866, -0.013236195, -0.030882176, -0.03667984, -0.00022797202, 0.018375335, 0.058432095, -0.04235548, 0.0563483, 0.02327648, -0.015030386, -0.037103232, -0.008597262, -0.0605841, -0.013746112, 0.004843101, -0.009230048, 0.033586606, -0.035784323, 0.036196332, 0.03582331, 0.04307324, -0.015864702, 0.02347262, -0.053025197, 0.043469638, 0.03502812, -0.04119219, 0.0008812312, 0.037088227, 0.027290441, -0.008816649, -0.04108573, 0.03823624, 0.027750256)"
1,Rescue,"(-0.008718286, 0.04062574, 0.00082964095, 0.027212216, 0.0011890221, -0.020426054, 0.027004035, 0.0059877303, 0.016456718, 0.050660603, -0.04984778, 0.030993821, 0.012918142, -0.0008307677, -0.024701986, -0.010400843, 0.003980799, -0.04531255, -0.00997038, -0.016473362, 0.03806568, -0.041692346, 0.026204437, 0.040228054, -0.023025984, 0.008932476, -0.019942576, 0.028809004, 0.055747278, -0.01707857, 0.05074217, -0.033139825, -0.026337652, 0.03916243, -0.008545217, 0.050996613, 0.016183643, -0.007862122, -0.009651409, -0.02658919, 0.035414506, -0.003782818, -0.018038694, -0.04032351, 0.058640014, 0.046328273, 0.008421745, 0.036629133, -0.03923062, 0.030175395, -0.037129052, -0.022136841, 0.04262065, 0.02485587, -0.05162913, -0.025221022, 0.004694378, -0.03789777, -0.011484097, -0.0025703942, 0.0315748, 0.016096197, -0.023571786, 0.043896046, 0.032002665, -0.041659497, -0.014376687, 0.03407021, -0.0040717414, 0.028402355, 0.0397869, 0.024705207, -0.021912673, -0.033673946, 0.049012758, -0.046462517, 0.05090175, -0.05771996, 0.012494132, 0.044571817, 0.0025865182, 0.013756932, 0.02598677, -0.029864727, 0.004994636, -0.058859956, 0.017701237, 0.04522069, 0.024294335, 0.02459219, 0.041019924, -0.025906974, -0.010034853, 0.0007519822, -0.021742083, 0.057589266, -0.013787767, 0.036806904, 0.038801055, -0.045445383)"
2,help,"(-0.04361404, 0.03460634, -0.012414705, 0.027986038, 0.03941771, 0.0026632547, 0.042407785, -0.04078468, 0.023654867, -0.0125404, 0.042378698, 0.0046647564, 0.012023497, -0.016046535, -0.0018272288, 0.049947884, 0.015973482, -0.02182889, -0.04306971, -0.040868424, -0.020763446, 0.015517961, -0.04346297, 0.022390094, 0.021718148, -0.0016500354, 0.03616519, 0.029811505, 0.033558857, 0.006319523, -0.011548318, 0.011711121, 0.037413206, -0.028450692, 0.0070156567, -0.044258546, -0.04185648, -0.03550726, -0.036307357, 0.03840724, 0.03533273, 0.03777374, 0.036773574, 0.044473518, 0.010456182, -0.019540036, -0.02056377, 0.00654608, 0.005338885, 0.048115443, -0.04939195, 0.013233174, -0.002309084, 0.023293082, -0.012497794, 0.0060393326, -0.019271387, -0.024426222, 0.045265067, 0.015525196, -0.0015094765, 0.012652408, -0.04558685, 0.029698696, 0.00449419, 0.015430007, 0.015527282, -0.026841093, 0.042605568, 0.03629761, -0.01912799, -0.0014801845, 0.0043984763, 0.03279886, -0.03777262, 0.028791253, -0.023630751, -0.004559718, -0.0003585443, -0.030824542, 0.04344846, -0.007785488, 0.00048769638, 0.03570584, -0.0016286373, 0.02784374, 0.0043193214, -0.028029859, 0.014285017, 0.04639219, 0.024149168, -0.023610938, 0.023701359, -0.028376972, 0.023685161, 0.045213748, -0.02619356, -0.00876119, 0.021084618, 0.045274843)"
3,Ca,"(-0.040313005, 0.015163861, 0.01758294, 0.02353581, 0.03664716, -0.029621484, 0.00095793774, 0.0060671754, -0.021296766, -0.033985212, 0.012298228, -0.0058450173, 0.0015820428, 0.048865676, 0.053566787, 0.038436856, 0.032966238, 0.023759738, -0.0068656504, 0.0349236, 0.016990216, -0.041499544, 0.02827554, 0.047700264, 0.02653684, -0.00656797, 0.0062415185, -0.05483403, 0.011895756, -0.043062128, -0.042521473, 0.010324289, 0.03687496, -0.01841139, 0.035737675, 0.054360952, 0.029324505, -0.012006908, -0.0107474355, -0.008423583, -0.037850346, 0.03247696, 0.024655381, -0.0053492985, 0.0060662236, -0.0013507595, 0.0021735763, 0.009233113, -0.027848039, -0.0072384775, -0.022333471, 0.039646108, -0.024337512, 0.049713247, 0.007717381, -0.01473505, -0.046794467, -0.037981465, -0.021897376, 0.024550011, -0.0138360225, -0.02250645, -0.02798471, 0.0016461886, 0.007140222, -0.050508, 0.032228198, 0.0050761667, 0.04086758, 0.018796096, 0.02636497, -0.0018166854, 0.026114987, -0.00057153346, 0.029661551, 0.022437666, 0.03991647, 0.0012514817, 0.034250204, 0.018754285, 0.04332308, -0.024179878, -0.044510722, -0.022925071, -0.027284106, -0.022862062, 0.004338371, -0.035845302, 0.02241016, 0.0014672537, -0.01817585, -0.028028028, 0.023615023, -0.009144864, -0.049982518, 0.043009765, 0.031374022, -0.04327542, -0.03338368, 0.027264662)"
4,India..,"(-0.02285488, -0.012267281, 0.029049054, -0.033599, 0.02148533, 0.040602416, -0.05366672, -0.0036130946, 0.009859259, 0.015610352, -0.05538375, -0.05795254, 0.022290595, 0.03251351, -0.035429634, -0.028900692, 0.0077461717, -0.04690677, 0.037715454, -0.05888743, -0.043197032, 0.06121017, 0.0055493773, 0.009757484, -0.019530693, 0.015452379, 0.060889076, 0.008983582, 0.058532126, 0.031340167, 0.024867784, -0.014905285, -0.012304128, -0.025239978, 0.030222353, -0.020719647, -0.0053075943, 0.0029965672, 0.005454196, 0.019512976, -0.008328461, 0.04413054, 0.011754606, -0.022148877, 0.02348444, 0.0147571955, -0.059173618, 0.064282276, -0.019690687, 0.03340507, 0.032232996, -0.02636013, 0.018896362, -0.024039702, -0.060435273, 0.0032576858, -0.026272941, 0.030610148, -0.021868763, 0.017890906, 0.052685868, 0.006422222, -0.026791506, 0.003339994, 0.04853131, -0.05876292, 0.0013223069, -0.0017815058, -0.011607753, 0.03061239, 0.028663775, 0.004061635, 0.02557867, -0.045825314, -0.009084019, 0.0070928507, 0.035547152, 0.017545732, 0.018201303, -0.024346804, -0.03689042, 0.0071978364, -0.062058687, -0.05005559, 0.052920856, -0.0020037014, 0.027508942, -0.008811237, 0.027164837, 0.024708359, 0.020983638, -0.055357564, 0.012803041, 0.016786365, -0.030223126, 0.04710509, -0.029958995, 0.03523002, 0.016674701, -0.002404049)"
5,-,"(0.048439372, 0.029030876, -0.017679203, -0.0031041156, -0.024284149, -0.03163294, 0.03516358, 0.024238398, -0.012637525, 0.02361346, -0.02491517, -0.020229513, -0.031503573, -0.04482694, -0.011520333, 0.045890238, -0.007217178, 0.009447528, -0.0075436207, -0.028237652, 0.0071055437, -0.038137913, -0.029052353, 0.036382508, 0.042188976, -0.033881567, -0.029401595, -0.0009417353, -0.005267836, -0.015015787, 0.043842077, -0.03948596, -0.045351792, -0.029215682, 0.037226643, -0.029119227, -0.04064649, -0.030084962, -0.025224103, 0.041567963, 0.014220711, -0.031860474, -0.026596008, 0.005245272, 0.031179558, -0.031752247, 0.04519785, -0.017687736, 0.00783105, 0.027111452, 0.02865529, -0.049839187, 0.032350414, 0.03675129, 0.05098608, 0.015381209, -0.037375867, -0.0049215825, 0.033223912, -0.017374968, 0.0018390841, -0.023500742, 0.01967232, -0.022738555, -0.038987357, 0.0068450705, 0.030903386, -0.033630896, 0.03773219, -0.025358712, 0.028103389, -0.010928312, 0.012069968, -0.04096102, 0.028419806, 0.025559735, -0.03594055, 0.04543159, -0.057062197, 0.040043678, 0.026317436, 0.055003084, 0.008913486, -0.029717593, -0.0153926, 0.045500137, 0.031398855, 0.010753571, 0.034551702, 0.02916495, -0.0002728131, 0.04687624, -0.055467054, -0.04314475, 0.023240985, -0.013039053, -0.01107348, 0.020788673, -0.015942754, 0.054393277)"
6,Thamer,"(-0.02616148, -0.016373016, -0.03371849, -0.03877344, 0.004924752, 0.033499364, 0.004410781, -0.024067594, -0.024741245, -0.022333218, 0.046410885, 0.025741007, 0.006228734, 0.019008938, 0.042339806, 0.043575015, 0.022273626, -0.035340942, 0.018174734, 0.022958387, 0.0010946393, -0.04260069, -0.023420215, -0.033081163, -0.026274038, -0.041041363, -0.04902351, -0.017272007, -0.027928008, 0.047462013, -0.031028843, 0.045850787, 0.023135927, -0.0463655, -0.04838517, 0.009008516, 0.02784643, 0.04850522, 0.0019587167, -0.009958409, 0.045580182, -0.026550103, -0.036690246, 0.024660598, 0.015324298, 0.004651297, 0.04488984, -0.020902669, 0.032601308, 0.042961787, 0.042083193, -0.012310483, -0.009313799, 0.004358016, -0.03825574, -0.0378924, 0.04333398, -0.042873204, 0.035949234, 0.042635214, 0.0160251, 0.011956919, 0.03763259, -0.028320909, -0.02244184, 0.03785379, 0.01874293, 0.037301097, 0.004744947, 0.02890483, 0.0063781254, 0.044089857, 0.018608008, 0.011635721, -0.048953142, -0.049353004, -0.04259024, 0.005394269, -0.048290264, -0.03551941, 0.033508185, 0.030836072, -0.03587135, 0.030410599, 0.03579546, -0.040780377, -0.028494108, -0.03770076, -0.041246545, -0.014910925, 0.022277903, -0.017469384, 0.036617134, 0.012966994, 0.017295327, 0.011097133, -0.019169534, -0.010717023, -0.045690324, 0.047779266)"
7,Georgia,"(0.013851438, 0.024681548, -0.046158046, 0.033181794, -0.026794834, 0.029521286, 0.030726641, 0.022822682, 0.032122824, 0.0394631, 0.030967979, 0.030066354, 0.0516572, -0.009636665, 0.0258152, -0.017085554, -0.009882407, -0.04951664, -0.032047536, 0.018139591, -0.028568272, -0.0339682, 0.036501255, -0.025302956, -0.026789775, 0.024080206, 0.057112124, -0.0004820797, -0.0022715954, 0.009650631, -0.022650389, -0.034964625, 0.017321449, -0.008024824, -0.0025369048, -0.0032914085, 0.027075747, -0.009764915, -0.022835495, -0.049007364, 0.050210826, 0.010995906, 0.05641474, 0.013089317, -0.009249119, -0.025051162, -0.033000473, -0.0062289764, -0.033110116, -0.016646242, 0.022184066, -0.016893746, -0.030071544, -0.016825475, 0.026757965, -0.012122374, -0.004110738, 0.012624039, -0.032757416, 0.039588656, 0.050113723, 0.028317979, 0.017641813, 0.0019019067, 0.04241094, -0.013314937, -0.04018014, 0.028833779, 0.010994494, 0.047602165, 0.03325301, 0.013408805, -0.014761714, -0.010385488, 0.03611371, -0.012792797, 0.05095481, 0.026688324, -0.032852218, 0.04640079, -0.008237042, -0.017647646, -0.0031235507, 0.037267502, 0.049418464, -0.0403791, 0.030012978, -0.046035126, -0.002499935, -0.034693327, -0.04594635, 0.030625561, 0.015392846, -0.02260011, 0.0025881156, 0.023318296, 0.019249298, -0.009300134, -0.03829725, -0.039506815)"
8,since,"(-0.029900575, 0.03942657, 0.03690877, 0.017767873, -0.019446695, -0.023553943, -0.04578456, 0.045528416, 0.023975518, -0.03871088, -0.034305632, -0.049719393, 0.0021637566, -0.028196692, -0.033217452, 0.00046558306, -0.012165666, 0.012946259, -0.011246264, -0.04018142, -0.03544445, -0.0062348843, 0.023674931, 0.002003312, 0.034459177, 0.031607855, 0.00040088966, -0.027720118, 0.022045467, 0.0326833, 0.036308777, 0.03430109, -0.008252703, -0.0017005429, 8.393079e-06, 0.025915328, -0.038876496, 0.03599632, -0.014456868, -0.044315647, 0.027442906, 0.041585337, -0.019045997, 0.018789422, -0.038804628, -0.013299536, 0.04013698, 0.046929512, 0.0041092522, 0.025122833, -0.048433173, 0.01372752, -0.020523524, 0.006755829, 0.034252074, -0.03957691, -0.035012282, 0.0012988448, -0.04753046, -0.011907529, 0.02405211, -0.042111218, 0.043857362, -0.014552284, -0.008218419, 0.0027152784, -0.048077323, -0.020179464, 0.0058783665, -0.04138907, -0.02254268, -0.046055842, -0.042212237, 0.0011841878, 0.02025007, -0.037615895, -0.043664385, 0.044260155, -0.03669723, -0.0035795085, -0.024170876, 0.0262787, 0.030075599, -0.030198956, -0.025100244, 0.02051166, 0.024204064, 0.015459094, -0.026538968, 0.013693724, -0.03599621, 0.0160602, 0.047745083, 0.018394653, 0.033625398, -0.031622432, -0.034011617, -0.013118245, -0.024692297, -0.011799872)"
9,hikers,"(-0.0058403835, -0.04335599, -0.04326408, 0.044672202, 0.017991628, -0.015481222, -0.044531118, -0.0016636476, 0.04531728, -0.027885532, 0.0020891652, -0.048126698, -0.026127005, 0.014061298, 0.008122813, 0.024539914, 0.0057273023, -0.026892459, 0.019346785, -0.018183984, -0.045182623, 0.008955359, -0.00063961744, 0.027022805, -0.03942547, 0.011424076, 0.045525003, -0.006251037, -0.037528526, 0.028641906, 0.048066627, -0.04351449, 0.0055273287, -0.022400666, -0.031484686, -0.036856413, -0.015904881, 0.04188559, -0.02708881, -0.024788046, 0.02569561, -0.01045407, -0.0020525828, 0.026504781, -0.012188207, -0.015934717, 0.004904676, 0.012688283, 0.003740035, 0.04338901, -0.04270662, -0.037530363, -0.044293772, 0.023490515, -0.025498807, -0.04559275, -0.032643154, 0.026677955, 0.034297895, 0.025111724, 0.0006291978, 0.046058405, 0.047828186, -0.027986502, 0.04284407, -0.030828286, 0.021561828, -0.027422035, 0.019072566, 0.0365613, -0.033442724, 0.040683094, 0.030728374, -0.03789259, -0.03462261, 0.023056377, 0.048898924, 0.0065293424, 0.0061869025, -0.026377726, 0.046320703, -0.034900106, 0.015260253, -0.022299815, -0.00025814772, 0.048569333, -0.032964885, -0.009992301, -0.036299728, 0.039101306, 0.026932564, -0.016105808, -0.041029893, -0.031440154, 0.0056086183, -0.015003227, 0.040442776, -0.049278438, 0.004074525, -0.044574704)"
