,Unnamed: 0,ID,Tweet,Event,Retweet_Count,Follower_Count,Source,User_Created_at,Tweet_Created_at,User_Language,User_Screen_Name,User_Location,Event_Decrption,Categories,Priority
2245,2245,966843468713746432,#ITMFA Manafort and Gates @jpw643 US Women End of 1 #GunControlNow Dana #RESIST Eric Greitens @CNN Ted Cruzâ€¦ https://t.co/1KCSfoHnBT,flSchoolShooting2018,1,12221,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2014-04-26 05:53:41,2018-02-23 01:13:40,en,bodebliss54,"Cleveland, Ohio","On February 14, 2018, a gunman opened fire at Marjory Stoneman Douglas High School in Parkland, Florida. The user is a response officer in the Florida command and control center who is just recieving reports of the shooting. <a href='https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting' target='_blank'>Wikipedia Page<a>","['MultimediaShare', 'Hashtags', 'Sentiment', 'ContextualInformation']",Low
2246,2246,966742939274801152,"RT @american_jonny: Anthony Borges, 15 years old. He used his body to hold a door shut protecting 20 students inside as the gunman shot thrâ€¦",flSchoolShooting2018,80,2423,"<a href=""http://tweetlogix.com"" rel=""nofollow"">Tweetlogix</a>",2010-05-20 16:23:11,2018-02-22 18:34:12,en,freedomrider364,,"On February 14, 2018, a gunman opened fire at Marjory Stoneman Douglas High School in Parkland, Florida. The user is a response officer in the Florida command and control center who is just recieving reports of the shooting. <a href='https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting' target='_blank'>Wikipedia Page<a>","['MultimediaShare', 'Discussion', 'ContextualInformation', 'OriginalEvent']",Low
2247,2247,966665193160835073,"RT @WangCecillia: Another teenaged hero in the Parkland shooting. Anthony Borges, an immigrant from Venezuela. Shot multiple times while loâ€¦",flSchoolShooting2018,69,43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2017-06-03 23:41:40,2018-02-22 13:25:16,en,Seekerofstars,,"On February 14, 2018, a gunman opened fire at Marjory Stoneman Douglas High School in Parkland, Florida. The user is a response officer in the Florida command and control center who is just recieving reports of the shooting. <a href='https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting' target='_blank'>Wikipedia Page<a>","['Discussion', 'ContextualInformation']",Medium
2248,2248,966620813700018177,#ITMFA @jpw643 US Women #ParklandStudentsSpeak End of 1 #GunControlNow  Dana #RESIST CNN Town Hall Listening Sessioâ€¦ https://t.co/HInJO4HjaK,flSchoolShooting2018,1,12221,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2014-04-26 05:53:41,2018-02-22 10:28:55,en,bodebliss54,"Cleveland, Ohio","On February 14, 2018, a gunman opened fire at Marjory Stoneman Douglas High School in Parkland, Florida. The user is a response officer in the Florida command and control center who is just recieving reports of the shooting. <a href='https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting' target='_blank'>Wikipedia Page<a>","['MultimediaShare', 'Hashtags', 'Sentiment', 'ContextualInformation']",Low
2249,2249,966135462372040704,#ITMFA @jpw643 #ParklandStrong #GunControlNow Romney #Mueller Steph #RESISTNow Dinesh D'Souza #MarchForOurLives Wesâ€¦ https://t.co/hq55RjrbNL,flSchoolShooting2018,0,12221,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2014-04-26 05:53:41,2018-02-21 02:20:18,en,bodebliss54,"Cleveland, Ohio","On February 14, 2018, a gunman opened fire at Marjory Stoneman Douglas High School in Parkland, Florida. The user is a response officer in the Florida command and control center who is just recieving reports of the shooting. <a href='https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting' target='_blank'>Wikipedia Page<a>","['MultimediaShare', 'Hashtags', 'Sentiment', 'ContextualInformation']",Low
2250,2250,965839563980652544,"RT @walkon2010: @realDonaldTrump Heâ€™s 15. 
He was shot 5 times. At school. 
Anthony Borges is said to be recovering, and today he was visitâ€¦",flSchoolShooting2018,7,3582,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2014-02-16 19:17:32,2018-02-20 06:44:31,en,wildwillow65,,"On February 14, 2018, a gunman opened fire at Marjory Stoneman Douglas High School in Parkland, Florida. The user is a response officer in the Florida command and control center who is just recieving reports of the shooting. <a href='https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting' target='_blank'>Wikipedia Page<a>","['MultimediaShare', 'Hashtags', 'Discussion', 'ContextualInformation', 'OriginalEvent']",Low
2251,2251,965593079297159168,Anthony Borges if the Florida school shooting is a true hero.#hero,flSchoolShooting2018,1,4,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2015-12-01 19:47:21,2018-02-19 14:25:04,en,scooterdogdad,,"On February 14, 2018, a gunman opened fire at Marjory Stoneman Douglas High School in Parkland, Florida. The user is a response officer in the Florida command and control center who is just recieving reports of the shooting. <a href='https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting' target='_blank'>Wikipedia Page<a>","['Hashtags', 'Sentiment', 'ContextualInformation']",Low
2252,2252,967486862205079552,RT @RichardConniff: I feel bad for the armed deputy w 32 years experience who hid behind a concrete column as FL high school #shooter killeâ€¦,flSchoolShooting2018,6,990,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2011-10-07 18:45:45,2018-02-24 19:50:17,en,CindyFitch1,,"On February 14, 2018, a gunman opened fire at Marjory Stoneman Douglas High School in Parkland, Florida. The user is a response officer in the Florida command and control center who is just recieving reports of the shooting. <a href='https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting' target='_blank'>Wikipedia Page<a>","['MultimediaShare', 'Hashtags', 'Discussion', 'ContextualInformation']",Medium
2253,2253,967443634877427712,"@piersmorgan Four ""good guys"" hid behind their cars while kids were being slaughtered. An armed teacher ALREADY INSâ€¦ https://t.co/MqDyx7jYhx",flSchoolShooting2018,0,177,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2018-01-06 18:20:23,2018-02-24 16:58:31,en,Looking4Karma,"Planet Earth, Orion Arm, Milky Way","On February 14, 2018, a gunman opened fire at Marjory Stoneman Douglas High School in Parkland, Florida. The user is a response officer in the Florida command and control center who is just recieving reports of the shooting. <a href='https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting' target='_blank'>Wikipedia Page<a>","['Discussion', 'ContextualInformation']",Medium
2254,2254,966559153824129024,"@cnnbrk The NRA helps to protect our Constitutional rights, why would someone NOT want their support?! Cruz and hisâ€¦ https://t.co/m57He5y9jB",flSchoolShooting2018,0,83,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2009-06-17 08:29:43,2018-02-22 06:23:54,en,Check2Check,"Honolulu, HI","On February 14, 2018, a gunman opened fire at Marjory Stoneman Douglas High School in Parkland, Florida. The user is a response officer in the Florida command and control center who is just recieving reports of the shooting. <a href='https://en.wikipedia.org/wiki/Stoneman_Douglas_High_School_shooting' target='_blank'>Wikipedia Page<a>","['Discussion', 'ContextualInformation']",Low
