,Unnamed: 0,ID,Tweet,Event,Retweet_Count,Follower_Count,Source,User_Created_at,Tweet_Created_at,User_Language,User_Screen_Name,User_Location,Event_Decrption,Categories,Priority
3620,3620,74290454534963200,"#PrayN4t/Lords  Healing & Restoration N Joplin. Church Destroyed By Tornado, Yet t/RoofTop Cross Still Standing, Refruge N #Jesus #Christ",joplinTornado2011,3,6054,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2009-11-27 03:04:27,2011-05-28 01:46:39,en,Gods_Lighthouse,This Side of Heaven,"The 2011 Joplin tornado was a catastrophic EF5-rated multiple-vortex tornado that struck Joplin, Missouri, late in the afternoon of Sunday, May 22, 2011. The user is a response officer in the Missouri command and control center responsible for impact to the state. <a href='https://en.wikipedia.org/wiki/2011_Joplin_tornado' target='_blank'>Wikipedia Page<a>","['Hashtags', 'Advice', 'Sentiment']",Low
3621,3621,74290454534963200,"#PrayN4t/Lords  Healing & Restoration N Joplin. Church Destroyed By Tornado, Yet t/RoofTop Cross Still Standing, Refruge N #Jesus #Christ",joplinTornado2011,3,6054,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2009-11-27 03:04:27,2011-05-28 01:46:39,en,Gods_Lighthouse,This Side of Heaven,"The 2011 Joplin tornado was a catastrophic EF5-rated multiple-vortex tornado that struck Joplin, Missouri, late in the afternoon of Sunday, May 22, 2011. The user is a response officer in the Missouri command and control center responsible for impact to the state. <a href='https://en.wikipedia.org/wiki/2011_Joplin_tornado' target='_blank'>Wikipedia Page<a>","['Hashtags', 'Advice', 'Sentiment']",Low
3622,3622,74920217951744000,RT @Bill_Gross: Amazing - and stunningly sad - pictures of before and after the #Tornado swept through #Joplin: http://j.mp/lfa80S from  ...,joplinTornado2011,70,1669,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2011-03-01 23:59:47,2011-05-29 19:29:06,en,itsNatashaF,CT,"The 2011 Joplin tornado was a catastrophic EF5-rated multiple-vortex tornado that struck Joplin, Missouri, late in the afternoon of Sunday, May 22, 2011. The user is a response officer in the Missouri command and control center responsible for impact to the state. <a href='https://en.wikipedia.org/wiki/2011_Joplin_tornado' target='_blank'>Wikipedia Page<a>","['Hashtags', 'News']",Low
3623,3623,74920217951744000,RT @Bill_Gross: Amazing - and stunningly sad - pictures of before and after the #Tornado swept through #Joplin: http://j.mp/lfa80S from  ...,joplinTornado2011,70,1669,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2011-03-01 23:59:47,2011-05-29 19:29:06,en,itsNatashaF,CT,"The 2011 Joplin tornado was a catastrophic EF5-rated multiple-vortex tornado that struck Joplin, Missouri, late in the afternoon of Sunday, May 22, 2011. The user is a response officer in the Missouri command and control center responsible for impact to the state. <a href='https://en.wikipedia.org/wiki/2011_Joplin_tornado' target='_blank'>Wikipedia Page<a>","['Hashtags', 'News']",Low
3624,3624,77079355364343808,RT @velvetrasputin: The tornado damage in N. Minneapolis.   http://youtu.be/icvSJUWHHi0 -- damn... just glad my friends are all safe,joplinTornado2011,0,674,"<a href=""http://www.twhirl.org"" rel=""nofollow"">Seesmic twhirl</a>",2009-03-12 23:56:04,2011-06-04 18:28:45,en,emilyroseartist,"Cincinnati, Ohio","The 2011 Joplin tornado was a catastrophic EF5-rated multiple-vortex tornado that struck Joplin, Missouri, late in the afternoon of Sunday, May 22, 2011. The user is a response officer in the Missouri command and control center responsible for impact to the state. <a href='https://en.wikipedia.org/wiki/2011_Joplin_tornado' target='_blank'>Wikipedia Page<a>","['MultimediaShare', 'Sentiment']",Low
3625,3625,77079355364343808,RT @velvetrasputin: The tornado damage in N. Minneapolis.   http://youtu.be/icvSJUWHHi0 -- damn... just glad my friends are all safe,joplinTornado2011,0,674,"<a href=""http://www.twhirl.org"" rel=""nofollow"">Seesmic twhirl</a>",2009-03-12 23:56:04,2011-06-04 18:28:45,en,emilyroseartist,"Cincinnati, Ohio","The 2011 Joplin tornado was a catastrophic EF5-rated multiple-vortex tornado that struck Joplin, Missouri, late in the afternoon of Sunday, May 22, 2011. The user is a response officer in the Missouri command and control center responsible for impact to the state. <a href='https://en.wikipedia.org/wiki/2011_Joplin_tornado' target='_blank'>Wikipedia Page<a>","['MultimediaShare', 'Sentiment']",Low
3626,3626,74304399119351808,"RT @CrossCzech17: A tornado kills 125 innocent people in Joplin.  One week later, Westboro Baptist Church protests in Joplin.  God - you ...",joplinTornado2011,26,99,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2010-11-21 08:00:24,2011-05-28 02:42:03,en,felislupin,Australia,"The 2011 Joplin tornado was a catastrophic EF5-rated multiple-vortex tornado that struck Joplin, Missouri, late in the afternoon of Sunday, May 22, 2011. The user is a response officer in the Missouri command and control center responsible for impact to the state. <a href='https://en.wikipedia.org/wiki/2011_Joplin_tornado' target='_blank'>Wikipedia Page<a>","['ThirdPartyObservation', 'Factoid', 'Sentiment']",Low
3627,3627,74304399119351808,"RT @CrossCzech17: A tornado kills 125 innocent people in Joplin.  One week later, Westboro Baptist Church protests in Joplin.  God - you ...",joplinTornado2011,26,99,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2010-11-21 08:00:24,2011-05-28 02:42:03,en,felislupin,Australia,"The 2011 Joplin tornado was a catastrophic EF5-rated multiple-vortex tornado that struck Joplin, Missouri, late in the afternoon of Sunday, May 22, 2011. The user is a response officer in the Missouri command and control center responsible for impact to the state. <a href='https://en.wikipedia.org/wiki/2011_Joplin_tornado' target='_blank'>Wikipedia Page<a>","['ThirdPartyObservation', 'Factoid', 'Sentiment']",Low
3628,3628,77720662453649408,Death toll from Joplin tornado rises to 141: officials - Reuters http://reut.rs/jw1E4Z,joplinTornado2011,0,307,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",2011-03-14 03:29:46,2011-06-06 12:57:04,en,NewBlockchains,,"The 2011 Joplin tornado was a catastrophic EF5-rated multiple-vortex tornado that struck Joplin, Missouri, late in the afternoon of Sunday, May 22, 2011. The user is a response officer in the Missouri command and control center responsible for impact to the state. <a href='https://en.wikipedia.org/wiki/2011_Joplin_tornado' target='_blank'>Wikipedia Page<a>","['MultimediaShare', 'Factoid', 'Official', 'News']",High
3629,3629,77720662453649408,Death toll from Joplin tornado rises to 141: officials - Reuters http://reut.rs/jw1E4Z,joplinTornado2011,0,307,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",2011-03-14 03:29:46,2011-06-06 12:57:04,en,NewBlockchains,,"The 2011 Joplin tornado was a catastrophic EF5-rated multiple-vortex tornado that struck Joplin, Missouri, late in the afternoon of Sunday, May 22, 2011. The user is a response officer in the Missouri command and control center responsible for impact to the state. <a href='https://en.wikipedia.org/wiki/2011_Joplin_tornado' target='_blank'>Wikipedia Page<a>","['MultimediaShare', 'Factoid', 'Official', 'News']",High
